task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",8,7,9,10,10,9,9,10,10,2,10,10,2,DP-based dispersion analysis is straightforward for a researcher familiar with Gries's formula and a spreadsheet or R.,Gries's DP addresses the frequency-versus-dispersion conflation and is increasingly considered a methodological best practice.,Current AI can compute DP for all items in a frequency list fully automatically given corpus part boundaries.,DP computation will be a trivial built-in function in all corpus platforms within a decade.,"DP is a mathematically closed-form measure with a fully specifiable algorithm, so theoretical maximum replaceability is complete.",Gries (2008) provides the exact DP formula and corpus-partitioning scheme with full reproducibility.,Corpus part sizes and word frequency per part are typically reported or inferable from published corpus metadata.,DP scores are deterministic sums of absolute deviations given corpus part divisions and frequencies.,R packages like corpora and Python corpus utilities can compute DP scores from frequency-per-part matrices.,No interpretive judgement is needed; DP is a pure frequency-distribution statistic.,Replication is verifiable by exact numerical match of DP values against published per-word dispersion tables.,Varying the number and size of corpus parts provides systematic sensitivity analysis of DP estimates.,Automated numerical comparison against published DP lists keeps verification cost negligible.
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",8,6,9,10,10,9,9,10,10,2,10,10,2,Juilland's D across registers is a standard dispersion measure calculable by researchers with basic statistical tools.,Juilland's D is a classic measure informing lexical stability and is relevant for register-comparative vocabulary studies.,Current AI can compute Juilland's D per register and compare values automatically given frequency tables.,Full automation is trivial to achieve within ten years as dispersion measures become standard corpus-tool defaults.,"Juilland's D is a closed-form formula, making theoretical maximum replaceability complete.","The Juilland formula is well documented, and register-division criteria are typically described in published studies.","Register division and corpus part sizes are usually reported explicitly, enabling exact replication.",Juilland's D is a deterministic calculation yielding identical results for identical frequency-per-register inputs.,R and Python corpus packages implement Juilland's D; spreadsheet computation is also feasible.,No interpretive judgement is required; the measure is purely distributional.,D values per word can be numerically matched against published frequency dictionary entries.,Systematic variation of register definitions or part sizes quantifies sensitivity of D estimates.,"Verification is automated comparison of D scores against published tables, costing minimal human time."
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",8,6,9,10,10,8,8,10,9,3,10,10,2,Mapping frequency vs. dispersion trade-offs requires generating scatter plots and is achievable with standard tools.,"This exploratory mapping reveals the analytic consequences of favouring frequency over dispersion, informing methodological debates.","Current AI can compute both metrics and generate comparison plots automatically, covering most of the task.",Full pipeline automation including interpretive commentary will be reachable within a decade.,"Theoretical maximum is very high as the computational steps are fully specifiable, though narrative interpretation adds minor residual.",Gries (2020) describes the mapping procedure with sufficient algorithmic detail for automated parsing.,Frequency and corpus-part distributions needed for both metrics are typically available in published corpus data.,Frequency and DP calculations are deterministic; scatter-plot generation is also deterministic given the same data.,"R and Python libraries handle both metric computation and visualisation, providing end-to-end toolchain coverage.",Minor interpretive effort is needed to contextualise clusters and outliers in the frequency-dispersion space.,Scatter-plot patterns and computed metric pairs can be compared numerically or visually against published figures.,Systematic threshold variation reveals how different frequency floors change the trade-off mapping.,"Verification requires visual or numerical comparison of the scatter plot against published versions, adding modest audit cost."
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",9,8,9,10,10,9,9,10,10,2,10,10,1,CQL/CQP concordance search is a routine task for corpus linguists; the query syntax is learnable within hours.,Exact concordance search is the bedrock operation for virtually all corpus-based pattern analysis.,Current AI can translate natural-language descriptions into CQL queries and execute them automatically.,Full automation of query generation and execution will be standard in next-generation corpus platforms.,"Given an explicit query string, concordance retrieval is entirely deterministic and fully automatable.",CQL syntax is formally specified in CQPweb documentation; extraction parameters are stated in the query string itself.,"The query string and corpus are by definition fully explicit, making parameter reporting trivially complete.",Identical CQL queries on identical corpora produce bit-identical concordance output.,"CQPweb, SketchEngine, and corpus Python wrappers all execute CQL queries natively.",No interpretive judgement is needed for the retrieval step; interpretation of lines is a separate downstream task.,Concordance output can be exactly matched against published KWIC lines or hit counts for verification.,"Systematic query variation (e.g., expanding/contracting POS constraints) directly maps retrieval sensitivity.",Verification is trivial: hit counts and sample lines are directly comparable against published concordance output.
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",7,8,8,10,10,8,7,9,9,3,9,9,3,"Dependency-parsed SVO extraction requires running an NLP parser and filtering triples, which is moderately demanding.","SVO pattern extraction enables automated grammar-pattern analysis at scale, linking corpus and constructional approaches.","Current AI parsers (spaCy, Stanford NLP) extract SVO triples automatically with high but not perfect accuracy.",Parser accuracy improvements over ten years will make SVO extraction near-perfect for standard English.,"SVO extraction is fully specifiable given a deterministic parser, so theoretical maximum replaceability is very high.",Mason & Hunston (2004) describe the pattern-matching procedure but parser-specific implementation details vary.,"Dependency relation labels and filtering rules are sometimes underspecified, requiring reasonable implementation choices.",Parser output is deterministic for a fixed model version; different parser versions introduce minor cross-version variability.,"spaCy, StanfordNLP, and UDPipe provide mature dependency parsers with SVO extraction examples available.",Minimal interpretive judgement is needed once extraction rules are fixed; error analysis adds minor overhead.,Extracted SVO triples can be compared against published pattern lists or frequency tables for verification.,Varying parser thresholds or relation-type filters provides systematic sensitivity mapping of extraction coverage.,"Verification requires comparing extracted triple frequencies against published counts, adding modest human review."
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",7,8,8,9,9,7,7,9,8,4,8,8,3,"Syntactic construction counting across genres requires parser output and genre-partitioned corpora, demanding moderate expertise.",Construction frequency profiling tests usage-based predictions and is central to corpus-based construction grammar.,"Current AI can annotate and count syntactic constructions per genre automatically, though construction-definition precision varies.",Improved construction parsers tied to constructicon databases will automate this task reliably within a decade.,The task approaches full theoretical replaceability once construction definitions are formalised in machine-readable form.,"Stefanowitsch (2013) describes collostructional counting procedures with sufficient detail, though construction boundaries vary.","Construction definitions are often described qualitatively, requiring operationalisation choices that affect replication.",Construction counts are deterministic given a fixed parser and construction definition; definitional variation introduces noise.,spaCy and NLTK parsers combined with construction-detection scripts can execute frequency profiling end-to-end.,Moderate judgement is needed to define construction boundaries and interpret inter-genre frequency contrasts.,Replication is verifiable by comparing construction frequency tables against published genre profiles.,Varying construction definitions or parser settings maps sensitivity of frequency profiles across genres.,Human review of construction-detection rules and boundary cases moderately increases verification cost.
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",6,8,5,8,8,6,5,5,7,8,6,6,6,"Semantic prosody assessment requires reading many concordance lines and making holistic evaluative judgements, which is demanding.",Semantic prosody is a foundational concept in corpus semantics; identifying it rigorously distinguishes expert corpus analysis.,Current AI can flag candidate prosodies from sentiment signals but cannot reliably match expert holistic concordance judgement.,Neural LLMs will substantially improve prosody detection within a decade but may still miss subtle evaluative nuance.,Full prosody assessment may always retain a residual human element due to the subjective nature of holistic evaluation.,Louw (1993) describes the qualitative sampling procedure but does not formalise decision criteria for prosody assignment.,The concordance sampling procedure is described but the threshold for labelling a prosody is rarely made explicit.,"Different analysts sampling different concordance lines can reach different prosody assessments, making outputs non-deterministic.","Concordance tools provide the data, but prosody judgement itself lacks a mature automated classification pipeline.",High interpretive load: the analyst must synthesise many contextual cues into a global evaluative judgement.,"Published prosody labels can be compared against AI assignments, but inter-annotator disagreement limits ground-truth certainty.","Varying the concordance sample size or concordance query alters prosody assignments, but sensitivity is hard to quantify.","A human expert must re-read sampled concordance lines to verify AI prosody labels, incurring substantial audit cost."
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",6,8,5,8,8,5,5,5,7,8,6,6,6,"Discourse preference profiling requires qualitative corpus reading alongside frequency counts, making it cognitively demanding.",Identifying evaluative lexis co-occurrence patterns is central to CADS methodology and informs critical discourse research.,Current AI can extract co-occurrence frequencies around target words but struggles with evaluative interpretation of patterns.,Decade-ahead LLMs with improved discourse understanding will push automation closer to full for frequency-level steps.,Theoretical maximum is limited by the inherent subjectivity of 'evaluative' lexis identification across discourse contexts.,"Partington et al. (2013) outline the CADS procedure conceptually, but operationalisation choices vary substantially across studies.",Evaluative lexis lists and co-occurrence parameters are sometimes reported but are often researcher-dependent.,"Co-occurrence statistics are deterministic, but identification of what counts as 'evaluative' introduces non-determinism.","Corpus frequency tools handle co-occurrence extraction, but evaluative-lexis tagging lacks a universally accepted pipeline.",High interpretive load: distinguishing meaningful discourse preferences from statistical artefacts requires expert contextual reading.,"Partially verifiable by comparing co-occurrence frequency tables, but discourse interpretation remains subjectively assessed.","Varying target word lists or window sizes can map statistical sensitivity, though evaluative labelling remains analyst-dependent.","Expert re-reading of patterns to validate AI labels is required, incurring relatively high verification cost."
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",8,8,9,10,10,9,9,10,10,2,10,10,2,Overuse/underuse analysis via %DIFF or odds ratio is a standard operation executable with basic corpus comparison tools.,"Learner corpus overuse/underuse analysis directly quantifies L2 transfer effects, making it central to SLA corpus research.",Current AI can compute %DIFF or odds ratios between learner and native frequency lists fully automatically.,Full automation is already essentially achievable and will be standard practice within a decade.,"These are closed-form formulas applied to frequency tables, giving theoretical maximum replaceability of 10.",Granger (1998) and learner corpus handbooks specify %DIFF and odds-ratio formulas with full precision.,Learner and native frequency counts are typically reported in published learner corpus studies enabling exact replication.,"Overuse/underuse statistics are deterministic functions of frequency counts, producing identical results on identical data.","quanteda, R base stats, and Python pandas can compute these ratios directly from frequency data frames.",No interpretive judgement is needed for the frequency-ratio computation step.,Replication is verifiable by exact numerical match of %DIFF or odds-ratio tables against published figures.,Systematic variation of frequency floors or reference corpus size maps sensitivity of overuse/underuse estimates.,Automated comparison of ratio tables against published output keeps verification cost negligible.
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",6,7,6,9,9,7,7,8,8,5,8,8,4,Error-tagged frequency profiling requires working with pre-tagged learner corpora and is feasible but tool-dependent.,Error-frequency profiles across L1 groups are key evidence in contrastive interlanguage and SLA research.,"Current AI can query error-tag frequencies from pre-tagged corpora automatically, though tag-set parsing may require alignment.","Within a decade, automated error tagging of new learner text combined with frequency profiling will be fully automated.",Theoretical maximum is slightly below 10 because cross-L1 comparison requires reliable pre-tagged corpora not always publicly available.,"Dagneaux et al. (1998) describe the error taxonomy used in ICLE, and frequency queries follow standard corpus procedures.","Error categories and L1 group definitions are published in corpus documentation, enabling reproducible profiling.","Tag-frequency counts are deterministic for a fixed tagged corpus and query, though tagger version can introduce variability.",CQPweb and SketchEngine support tag-based frequency queries; Python NLTK can access CHILDES-style tagged files.,Some judgement is needed to interpret whether frequency differences across L1 groups reflect systematic transfer effects.,Replication is verifiable by comparing tag-frequency tables against published ICLE or CEF-aligned error profiles.,Varying L1 group aggregations or error-tag scope maps sensitivity of L1-specific error frequency contrasts.,Human review of tag assignments for novel error categories adds moderate verification overhead.
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",9,9,10,10,10,9,9,10,10,2,10,10,1,"Burrows's Delta computation requires building most-frequent-word vectors and computing distances, easily done in Python.",Delta is the dominant computational method for authorship attribution and is central to digital humanities research.,Current AI can execute Burrows's Delta fully automatically from raw text files with no human intervention.,Full automation is already achieved and will remain trivially automatable in ten years.,"Delta is a fully specified mathematical procedure on raw text inputs, giving theoretical maximum replaceability of 10.","Burrows (2002) and stylometry literature fully specify the most-frequent-word selection, normalisation, and distance formula.",The number of most frequent words and normalisation approach are always reported in Delta studies.,"Delta is deterministic given fixed word-list size and normalisation method, producing identical distance matrices each run.",Stylometry R package (stylo) and Python implementations execute Delta end-to-end from plain text files.,No interpretive judgement is needed for the computation step; attribution decisions follow directly from distance ranking.,Attribution results can be exactly compared against published cluster dendrograms and nearest-neighbour assignments.,Systematically varying MFW count and distance metric maps attribution sensitivity under different hyperparameter settings.,Automated comparison of distance matrices and attribution labels against published results keeps verification cost very low.
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",7,7,7,9,9,7,6,8,8,6,7,7,4,"Foregrounding frequency profiling involves comparing lexical choice frequencies against genre norms, requiring specialist knowledge.","Quantifying stylistic foregrounding connects corpus stylistics with literary theory, making it significant for the field.",Current AI can compute frequency deviations from genre norms but struggles to interpret literary significance of outliers.,LLM-integrated stylistic analysis tools will improve automated foregrounding detection within a decade.,Theoretical maximum is limited by the subjective element of deciding which deviations constitute meaningful literary foregrounding.,"Stubbs (2005) describes the comparative frequency procedure clearly, though genre-norm corpus selection varies across studies.",Genre-norm corpora and frequency thresholds for 'deviance' are sometimes underspecified in stylistic studies.,"Frequency comparisons are deterministic, but the threshold for labelling a deviation as foregrounding is analyst-dependent.",Corpus frequency tools provide statistical comparison; no single mature pipeline exists for automated foregrounding labelling.,Moderate interpretive load: connecting statistical frequency outliers to literary-theoretical foregrounding requires expert judgement.,Frequency deviation scores can be numerically verified; interpretive foregrounding labels are harder to evaluate objectively.,Varying genre-norm corpus composition or frequency deviation thresholds maps sensitivity of foregrounding designations.,Human re-reading of flagged deviations to confirm foregrounding status adds moderate verification overhead.
