task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",8,7,4,7,8,7,6,8,7,8,5,6,7,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (4/10).,Anticipated advances suggest higher automation of this task in the next decade (7/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (8/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (8/10).,Replication success can usually be checked against reported statistics or distributions (5/10).,Parameters can typically be varied systematically to explore robustness of the findings (6/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (7/10).
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",8,7,8,9,10,8,7,9,9,4,8,8,3,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (8/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (8/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (9/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (3/10).
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",7,7,7,9,10,6,7,9,6,5,8,8,6,This task is feasible for a trained corpus linguist using standard tools (7/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (7/10).,Anticipated advances suggest higher automation of this task in the next decade (9/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (10/10).",The procedural details for this task can mostly be extracted from typical methods sections (6/10).,Most key parameters for this task tend to be explicitly reported in the literature (7/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (9/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (6/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (5/10).,Replication success can usually be checked against reported statistics or distributions (8/10).,Parameters can typically be varied systematically to explore robustness of the findings (8/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (6/10).
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",7,7,5,8,9,6,6,8,6,5,7,7,6,This task is feasible for a trained corpus linguist using standard tools (7/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (5/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (6/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (6/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (5/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (6/10).
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",8,7,6,8,9,7,6,8,7,4,7,7,4,This task is feasible for a trained corpus linguist using standard tools (8/10).,This task represents a moderately important method within corpus linguistics research (7/10).,Current NLP pipelines can automate large parts of this procedure with some supervision (6/10).,Anticipated advances suggest higher automation of this task in the next decade (8/10).,"Given its algorithmic nature, this task could in principle be almost fully automated (9/10).",The procedural details for this task can mostly be extracted from typical methods sections (7/10).,Most key parameters for this task tend to be explicitly reported in the literature (6/10).,"Given fixed corpora and parameters, this task yields highly repeatable quantitative outputs (8/10).",Existing corpus and NLP tools can implement this task with reasonable end-to-end coverage (7/10).,Only a limited amount of qualitative interpretation is needed beyond running standard procedures (4/10).,Replication success can usually be checked against reported statistics or distributions (7/10).,Parameters can typically be varied systematically to explore robustness of the findings (7/10).,Auditing the AI’s output for this task would take substantially less time than a full manual replication (4/10).
