task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",8,8,8,9,10,9,8,10,8,3,8,9,3,"A trained corpus linguist can perform DP-based dispersion analysis (Gries's Deviation of Proportions), but the workload and annotation burden justify a feasibility score of 8.","DP-based dispersion analysis (Gries's Deviation of Proportions) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of DP-based dispersion analysis (Gries's Deviation of Proportions) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make DP-based dispersion analysis (Gries's Deviation of Proportions) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, DP-based dispersion analysis (Gries's Deviation of Proportions) has an upper-bound AI replaceability score of 10.",Published descriptions of DP-based dispersion analysis (Gries's Deviation of Proportions) can be converted into executable steps to the extent reflected by a score of 9.,"The literature for DP-based dispersion analysis (Gries's Deviation of Proportions) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, DP-based dispersion analysis (Gries's Deviation of Proportions) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support DP-based dispersion analysis (Gries's Deviation of Proportions) end-to-end with tool-chain maturity scored at 8.",DP-based dispersion analysis (Gries's Deviation of Proportions) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of DP-based dispersion analysis (Gries's Deviation of Proportions) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in DP-based dispersion analysis (Gries's Deviation of Proportions) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for DP-based dispersion analysis (Gries's Deviation of Proportions) would require human effort at the level represented by a verification-cost score of 3.
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",8,7,8,9,10,9,8,10,8,3,8,9,3,"A trained corpus linguist can perform Juilland's D comparison across registers, but the workload and annotation burden justify a feasibility score of 8.","Juilland's D comparison across registers addresses a recognized corpus-linguistic research operation, giving it a research significance score of 7.","Today's AI can automate much of Juilland's D comparison across registers when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make Juilland's D comparison across registers more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Juilland's D comparison across registers has an upper-bound AI replaceability score of 10.",Published descriptions of Juilland's D comparison across registers can be converted into executable steps to the extent reflected by a score of 9.,"The literature for Juilland's D comparison across registers reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Juilland's D comparison across registers produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support Juilland's D comparison across registers end-to-end with tool-chain maturity scored at 8.",Juilland's D comparison across registers requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of Juilland's D comparison across registers can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in Juilland's D comparison across registers can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Juilland's D comparison across registers would require human effort at the level represented by a verification-cost score of 3.
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",7,8,7,9,10,7,7,8,7,5,7,9,4,"A trained corpus linguist can perform Frequency vs. dispersion trade-off mapping, but the workload and annotation burden justify a feasibility score of 7.","Frequency vs. dispersion trade-off mapping addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Frequency vs. dispersion trade-off mapping when corpora and parameters are provided, yielding a current replaceability score of 7.","Expected gains in language modelling, parsing, and corpus tooling should make Frequency vs. dispersion trade-off mapping more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Frequency vs. dispersion trade-off mapping has an upper-bound AI replaceability score of 10.",Published descriptions of Frequency vs. dispersion trade-off mapping can be converted into executable steps to the extent reflected by a score of 7.,"The literature for Frequency vs. dispersion trade-off mapping reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 7.","Given fixed inputs and settings, Frequency vs. dispersion trade-off mapping produces repeatable outputs to the degree indicated by a determinism score of 8.","Existing corpus, NLP, or statistical software can support Frequency vs. dispersion trade-off mapping end-to-end with tool-chain maturity scored at 7.",Frequency vs. dispersion trade-off mapping requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 5.,"Replication of Frequency vs. dispersion trade-off mapping can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 7.",Parameters in Frequency vs. dispersion trade-off mapping can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Frequency vs. dispersion trade-off mapping would require human effort at the level represented by a verification-cost score of 4.
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",9,8,9,10,10,10,10,10,10,2,9,10,2,"A trained corpus linguist can perform CQL/CQP concordance search with explicit query string, but the workload and annotation burden justify a feasibility score of 9.","CQL/CQP concordance search with explicit query string addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of CQL/CQP concordance search with explicit query string when corpora and parameters are provided, yielding a current replaceability score of 9.","Expected gains in language modelling, parsing, and corpus tooling should make CQL/CQP concordance search with explicit query string more automatable, so the ten-year score is 10.","With ideal corpora, metadata, and validation signals, CQL/CQP concordance search with explicit query string has an upper-bound AI replaceability score of 10.",Published descriptions of CQL/CQP concordance search with explicit query string can be converted into executable steps to the extent reflected by a score of 10.,"The literature for CQL/CQP concordance search with explicit query string reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 10.","Given fixed inputs and settings, CQL/CQP concordance search with explicit query string produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support CQL/CQP concordance search with explicit query string end-to-end with tool-chain maturity scored at 10.",CQL/CQP concordance search with explicit query string requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 2.,"Replication of CQL/CQP concordance search with explicit query string can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 9.",Parameters in CQL/CQP concordance search with explicit query string can be varied systematically for sensitivity analysis with robustness tractability scored at 10.,Auditing AI output for CQL/CQP concordance search with explicit query string would require human effort at the level represented by a verification-cost score of 2.
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",7,8,7,9,10,7,7,7,9,5,6,8,5,"A trained corpus linguist can perform Lexico-grammatical pattern extraction via dependency parsing (SVO triples), but the workload and annotation burden justify a feasibility score of 7.","Lexico-grammatical pattern extraction via dependency parsing (SVO triples) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Lexico-grammatical pattern extraction via dependency parsing (SVO triples) when corpora and parameters are provided, yielding a current replaceability score of 7.","Expected gains in language modelling, parsing, and corpus tooling should make Lexico-grammatical pattern extraction via dependency parsing (SVO triples) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Lexico-grammatical pattern extraction via dependency parsing (SVO triples) has an upper-bound AI replaceability score of 10.",Published descriptions of Lexico-grammatical pattern extraction via dependency parsing (SVO triples) can be converted into executable steps to the extent reflected by a score of 7.,"The literature for Lexico-grammatical pattern extraction via dependency parsing (SVO triples) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 7.","Given fixed inputs and settings, Lexico-grammatical pattern extraction via dependency parsing (SVO triples) produces repeatable outputs to the degree indicated by a determinism score of 7.","Existing corpus, NLP, or statistical software can support Lexico-grammatical pattern extraction via dependency parsing (SVO triples) end-to-end with tool-chain maturity scored at 9.",Lexico-grammatical pattern extraction via dependency parsing (SVO triples) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 5.,"Replication of Lexico-grammatical pattern extraction via dependency parsing (SVO triples) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 6.",Parameters in Lexico-grammatical pattern extraction via dependency parsing (SVO triples) can be varied systematically for sensitivity analysis with robustness tractability scored at 8.,Auditing AI output for Lexico-grammatical pattern extraction via dependency parsing (SVO triples) would require human effort at the level represented by a verification-cost score of 5.
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",6,8,6,8,10,6,6,6,7,6,6,7,6,"A trained corpus linguist can perform Constructional frequency profiling (syntactic construction counts across genres), but the workload and annotation burden justify a feasibility score of 6.","Constructional frequency profiling (syntactic construction counts across genres) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Constructional frequency profiling (syntactic construction counts across genres) when corpora and parameters are provided, yielding a current replaceability score of 6.","Expected gains in language modelling, parsing, and corpus tooling should make Constructional frequency profiling (syntactic construction counts across genres) more automatable, so the ten-year score is 8.","With ideal corpora, metadata, and validation signals, Constructional frequency profiling (syntactic construction counts across genres) has an upper-bound AI replaceability score of 10.",Published descriptions of Constructional frequency profiling (syntactic construction counts across genres) can be converted into executable steps to the extent reflected by a score of 6.,"The literature for Constructional frequency profiling (syntactic construction counts across genres) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 6.","Given fixed inputs and settings, Constructional frequency profiling (syntactic construction counts across genres) produces repeatable outputs to the degree indicated by a determinism score of 6.","Existing corpus, NLP, or statistical software can support Constructional frequency profiling (syntactic construction counts across genres) end-to-end with tool-chain maturity scored at 7.",Constructional frequency profiling (syntactic construction counts across genres) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 6.,"Replication of Constructional frequency profiling (syntactic construction counts across genres) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 6.",Parameters in Constructional frequency profiling (syntactic construction counts across genres) can be varied systematically for sensitivity analysis with robustness tractability scored at 7.,Auditing AI output for Constructional frequency profiling (syntactic construction counts across genres) would require human effort at the level represented by a verification-cost score of 6.
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",6,9,5,7,9,5,5,5,6,8,5,6,7,"A trained corpus linguist can perform Semantic prosody assessment via concordance sampling, but the workload and annotation burden justify a feasibility score of 6.","Semantic prosody assessment via concordance sampling addresses a recognized corpus-linguistic research operation, giving it a research significance score of 9.","Today's AI can automate much of Semantic prosody assessment via concordance sampling when corpora and parameters are provided, yielding a current replaceability score of 5.","Expected gains in language modelling, parsing, and corpus tooling should make Semantic prosody assessment via concordance sampling more automatable, so the ten-year score is 7.","With ideal corpora, metadata, and validation signals, Semantic prosody assessment via concordance sampling has an upper-bound AI replaceability score of 9.",Published descriptions of Semantic prosody assessment via concordance sampling can be converted into executable steps to the extent reflected by a score of 5.,"The literature for Semantic prosody assessment via concordance sampling reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 5.","Given fixed inputs and settings, Semantic prosody assessment via concordance sampling produces repeatable outputs to the degree indicated by a determinism score of 5.","Existing corpus, NLP, or statistical software can support Semantic prosody assessment via concordance sampling end-to-end with tool-chain maturity scored at 6.",Semantic prosody assessment via concordance sampling requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 8.,"Replication of Semantic prosody assessment via concordance sampling can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 5.",Parameters in Semantic prosody assessment via concordance sampling can be varied systematically for sensitivity analysis with robustness tractability scored at 6.,Auditing AI output for Semantic prosody assessment via concordance sampling would require human effort at the level represented by a verification-cost score of 7.
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",6,8,6,8,9,6,6,6,7,7,6,7,6,"A trained corpus linguist can perform Discourse preference profiling (co-occurrence of evaluative lexis around a target), but the workload and annotation burden justify a feasibility score of 6.","Discourse preference profiling (co-occurrence of evaluative lexis around a target) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Discourse preference profiling (co-occurrence of evaluative lexis around a target) when corpora and parameters are provided, yielding a current replaceability score of 6.","Expected gains in language modelling, parsing, and corpus tooling should make Discourse preference profiling (co-occurrence of evaluative lexis around a target) more automatable, so the ten-year score is 8.","With ideal corpora, metadata, and validation signals, Discourse preference profiling (co-occurrence of evaluative lexis around a target) has an upper-bound AI replaceability score of 9.",Published descriptions of Discourse preference profiling (co-occurrence of evaluative lexis around a target) can be converted into executable steps to the extent reflected by a score of 6.,"The literature for Discourse preference profiling (co-occurrence of evaluative lexis around a target) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 6.","Given fixed inputs and settings, Discourse preference profiling (co-occurrence of evaluative lexis around a target) produces repeatable outputs to the degree indicated by a determinism score of 6.","Existing corpus, NLP, or statistical software can support Discourse preference profiling (co-occurrence of evaluative lexis around a target) end-to-end with tool-chain maturity scored at 7.",Discourse preference profiling (co-occurrence of evaluative lexis around a target) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 7.,"Replication of Discourse preference profiling (co-occurrence of evaluative lexis around a target) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 6.",Parameters in Discourse preference profiling (co-occurrence of evaluative lexis around a target) can be varied systematically for sensitivity analysis with robustness tractability scored at 7.,Auditing AI output for Discourse preference profiling (co-occurrence of evaluative lexis around a target) would require human effort at the level represented by a verification-cost score of 6.
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",8,8,8,9,10,9,8,10,9,3,8,9,3,"A trained corpus linguist can perform Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference), but the workload and annotation burden justify a feasibility score of 8.","Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) has an upper-bound AI replaceability score of 10.",Published descriptions of Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) can be converted into executable steps to the extent reflected by a score of 9.,"The literature for Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) end-to-end with tool-chain maturity scored at 9.",Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference) would require human effort at the level represented by a verification-cost score of 3.
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",7,8,8,9,10,8,7,9,8,4,8,9,3,"A trained corpus linguist can perform Error-tagged frequency profiling (tagged error categories across L1 groups), but the workload and annotation burden justify a feasibility score of 7.","Error-tagged frequency profiling (tagged error categories across L1 groups) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Error-tagged frequency profiling (tagged error categories across L1 groups) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make Error-tagged frequency profiling (tagged error categories across L1 groups) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Error-tagged frequency profiling (tagged error categories across L1 groups) has an upper-bound AI replaceability score of 10.",Published descriptions of Error-tagged frequency profiling (tagged error categories across L1 groups) can be converted into executable steps to the extent reflected by a score of 8.,"The literature for Error-tagged frequency profiling (tagged error categories across L1 groups) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 7.","Given fixed inputs and settings, Error-tagged frequency profiling (tagged error categories across L1 groups) produces repeatable outputs to the degree indicated by a determinism score of 9.","Existing corpus, NLP, or statistical software can support Error-tagged frequency profiling (tagged error categories across L1 groups) end-to-end with tool-chain maturity scored at 8.",Error-tagged frequency profiling (tagged error categories across L1 groups) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 4.,"Replication of Error-tagged frequency profiling (tagged error categories across L1 groups) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in Error-tagged frequency profiling (tagged error categories across L1 groups) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Error-tagged frequency profiling (tagged error categories across L1 groups) would require human effort at the level represented by a verification-cost score of 3.
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",8,8,9,10,10,9,8,10,9,3,9,9,2,"A trained corpus linguist can perform Burrows's Delta authorship attribution (most-frequent-word profiles), but the workload and annotation burden justify a feasibility score of 8.","Burrows's Delta authorship attribution (most-frequent-word profiles) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Burrows's Delta authorship attribution (most-frequent-word profiles) when corpora and parameters are provided, yielding a current replaceability score of 9.","Expected gains in language modelling, parsing, and corpus tooling should make Burrows's Delta authorship attribution (most-frequent-word profiles) more automatable, so the ten-year score is 10.","With ideal corpora, metadata, and validation signals, Burrows's Delta authorship attribution (most-frequent-word profiles) has an upper-bound AI replaceability score of 10.",Published descriptions of Burrows's Delta authorship attribution (most-frequent-word profiles) can be converted into executable steps to the extent reflected by a score of 9.,"The literature for Burrows's Delta authorship attribution (most-frequent-word profiles) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Burrows's Delta authorship attribution (most-frequent-word profiles) produces repeatable outputs to the degree indicated by a determinism score of 10.","Existing corpus, NLP, or statistical software can support Burrows's Delta authorship attribution (most-frequent-word profiles) end-to-end with tool-chain maturity scored at 9.",Burrows's Delta authorship attribution (most-frequent-word profiles) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of Burrows's Delta authorship attribution (most-frequent-word profiles) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 9.",Parameters in Burrows's Delta authorship attribution (most-frequent-word profiles) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Burrows's Delta authorship attribution (most-frequent-word profiles) would require human effort at the level represented by a verification-cost score of 2.
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",6,8,6,8,9,6,6,7,7,7,6,7,6,"A trained corpus linguist can perform Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), but the workload and annotation burden justify a feasibility score of 6.","Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) when corpora and parameters are provided, yielding a current replaceability score of 6.","Expected gains in language modelling, parsing, and corpus tooling should make Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) more automatable, so the ten-year score is 8.","With ideal corpora, metadata, and validation signals, Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) has an upper-bound AI replaceability score of 9.",Published descriptions of Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) can be converted into executable steps to the extent reflected by a score of 6.,"The literature for Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 6.","Given fixed inputs and settings, Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) produces repeatable outputs to the degree indicated by a determinism score of 7.","Existing corpus, NLP, or statistical software can support Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) end-to-end with tool-chain maturity scored at 7.",Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 7.,"Replication of Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 6.",Parameters in Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) can be varied systematically for sensitivity analysis with robustness tractability scored at 7.,Auditing AI output for Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) would require human effort at the level represented by a verification-cost score of 6.
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",8,8,8,9,10,8,8,9,8,3,8,9,3,"A trained corpus linguist can perform COHA/COCA diachronic frequency trajectory (normalised frequency across decades), but the workload and annotation burden justify a feasibility score of 8.","COHA/COCA diachronic frequency trajectory (normalised frequency across decades) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 8.","Today's AI can automate much of COHA/COCA diachronic frequency trajectory (normalised frequency across decades) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make COHA/COCA diachronic frequency trajectory (normalised frequency across decades) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, COHA/COCA diachronic frequency trajectory (normalised frequency across decades) has an upper-bound AI replaceability score of 10.",Published descriptions of COHA/COCA diachronic frequency trajectory (normalised frequency across decades) can be converted into executable steps to the extent reflected by a score of 8.,"The literature for COHA/COCA diachronic frequency trajectory (normalised frequency across decades) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, COHA/COCA diachronic frequency trajectory (normalised frequency across decades) produces repeatable outputs to the degree indicated by a determinism score of 9.","Existing corpus, NLP, or statistical software can support COHA/COCA diachronic frequency trajectory (normalised frequency across decades) end-to-end with tool-chain maturity scored at 8.",COHA/COCA diachronic frequency trajectory (normalised frequency across decades) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 3.,"Replication of COHA/COCA diachronic frequency trajectory (normalised frequency across decades) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in COHA/COCA diachronic frequency trajectory (normalised frequency across decades) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for COHA/COCA diachronic frequency trajectory (normalised frequency across decades) would require human effort at the level represented by a verification-cost score of 3.
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",6,9,7,9,10,6,6,6,8,7,6,8,6,"A trained corpus linguist can perform Semantic change detection via co-occurrence shift, but the workload and annotation burden justify a feasibility score of 6.","Semantic change detection via co-occurrence shift addresses a recognized corpus-linguistic research operation, giving it a research significance score of 9.","Today's AI can automate much of Semantic change detection via co-occurrence shift when corpora and parameters are provided, yielding a current replaceability score of 7.","Expected gains in language modelling, parsing, and corpus tooling should make Semantic change detection via co-occurrence shift more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Semantic change detection via co-occurrence shift has an upper-bound AI replaceability score of 10.",Published descriptions of Semantic change detection via co-occurrence shift can be converted into executable steps to the extent reflected by a score of 6.,"The literature for Semantic change detection via co-occurrence shift reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 6.","Given fixed inputs and settings, Semantic change detection via co-occurrence shift produces repeatable outputs to the degree indicated by a determinism score of 6.","Existing corpus, NLP, or statistical software can support Semantic change detection via co-occurrence shift end-to-end with tool-chain maturity scored at 8.",Semantic change detection via co-occurrence shift requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 7.,"Replication of Semantic change detection via co-occurrence shift can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 6.",Parameters in Semantic change detection via co-occurrence shift can be varied systematically for sensitivity analysis with robustness tractability scored at 8.,Auditing AI output for Semantic change detection via co-occurrence shift would require human effort at the level represented by a verification-cost score of 6.
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",7,9,8,9,10,8,8,9,8,4,8,9,4,"A trained corpus linguist can perform Biber-style factor score computation (weighted linguistic feature counts), but the workload and annotation burden justify a feasibility score of 7.","Biber-style factor score computation (weighted linguistic feature counts) addresses a recognized corpus-linguistic research operation, giving it a research significance score of 9.","Today's AI can automate much of Biber-style factor score computation (weighted linguistic feature counts) when corpora and parameters are provided, yielding a current replaceability score of 8.","Expected gains in language modelling, parsing, and corpus tooling should make Biber-style factor score computation (weighted linguistic feature counts) more automatable, so the ten-year score is 9.","With ideal corpora, metadata, and validation signals, Biber-style factor score computation (weighted linguistic feature counts) has an upper-bound AI replaceability score of 10.",Published descriptions of Biber-style factor score computation (weighted linguistic feature counts) can be converted into executable steps to the extent reflected by a score of 8.,"The literature for Biber-style factor score computation (weighted linguistic feature counts) reports the needed thresholds, windows, corpora, or feature settings with explicitness scored at 8.","Given fixed inputs and settings, Biber-style factor score computation (weighted linguistic feature counts) produces repeatable outputs to the degree indicated by a determinism score of 9.","Existing corpus, NLP, or statistical software can support Biber-style factor score computation (weighted linguistic feature counts) end-to-end with tool-chain maturity scored at 8.",Biber-style factor score computation (weighted linguistic feature counts) requires qualitative or theoretical human judgement at the level represented by a judgement-load score of 4.,"Replication of Biber-style factor score computation (weighted linguistic feature counts) can be checked against published tables, rankings, counts, or classifications with ground-truth availability scored at 8.",Parameters in Biber-style factor score computation (weighted linguistic feature counts) can be varied systematically for sensitivity analysis with robustness tractability scored at 9.,Auditing AI output for Biber-style factor score computation (weighted linguistic feature counts) would require human effort at the level represented by a verification-cost score of 4.
