task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
"DP-based dispersion analysis (Gries's Deviation of Proportions)",Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",9,8,9,10,10,9,9,10,9,2,9,9,2,"DP dispersion is straightforward for humans with formulas or standard software.","Dispersion is increasingly recognised as essential alongside raw frequency.","Current AI can compute DP accurately and rapidly from segment counts.","Future AI will fully automate DP extraction as a routine normalisation step.","DP is a deterministic statistic with complete automation potential.","Gries gives an explicit formula that is trivially parseable into code.","Part-size and corpus partitioning details are mostly reported explicitly.","Identical segment counts yield identical DP values every time.","Gries's R scripts plus quanteda and other packages support DP easily.","Negligible interpretive judgement is needed to calculate the DP score.","Published DP tables give direct objective replication targets.","Segment sizes and dispersion metrics can be varied trivially and easily.","Auditing DP requires only count and formula spot-checks."
"Juilland's D comparison across registers",Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",9,6,9,10,10,9,8,10,8,2,8,9,2,"Juilland's D is trivially computable with register frequency counts.","Juilland's D is useful but largely superseded by newer dispersion measures.","Current AI can compute Juilland's D from tabulated counts immediately.","Future AI will make this fully routine and invisible.","The statistic is purely arithmetic and entirely automatable.","The original formula is fully explicit and well-known.","Register partitions and normalisation details may occasionally be missing.","Fixed register counts yield identical Juilland's D values deterministically.","General statistical tools and dispersion R packages compute the measure readily.","Very little interpretive judgement is required once registers are defined.","Published D values enable direct objective verification checks.","Alternative partitions and measures can be tested systematically.","Verification cost is very low for a formula-based statistic."
"Frequency vs. dispersion trade-off mapping",Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",8,8,8,9,10,7,7,10,8,4,8,9,4,"Frequency-dispersion mapping is feasible with standard spreadsheet or scripting tools.","The trade-off is important for robust corpus frequency interpretation and methodology.","Current AI can compute and plot the mapping with appropriate guidance.","Future AI should automate exploratory dispersion diagnostics well and completely.","The mapping is fully automatable once metrics and visualisation choices are selected.","Methods prose may describe the plot but omit exact display and binning choices.","Metric choices and binning rules are often only partly explicit in publications.","Fixed metrics and data produce identical coordinate mappings deterministically.","R and Python provide mature plotting and dispersion tooling for this task.","Some judgement is needed to interpret outlier patterns and cluster boundaries.","Published figures and tables provide measurable but imperfect replication targets.","Metrics bins and thresholds can be varied systematically by AI.","Verification requires checking both calculations and visual encoding choices."
"CQL/CQP concordance search with explicit query string",Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",9,8,10,10,10,10,10,10,10,1,9,8,1,"Running an explicit CQL query is trivial for trained corpus linguistics users.","CQL concordancing underpins the majority of corpus grammar and pattern studies.","Current AI can perfectly execute explicit CQL queries against corpus databases.","Future AI will natively translate natural language into flawless complex CQL queries.","Executing a formal deterministic search query is fundamentally a machine task.","An explicit query string is by definition a machine-executable specification.","Published CQL queries inherently contain exactly all needed parameters.","Identical indexed corpora and queries return identical hit lists every time.","Corpus Workbench CQPweb and Sketch Engine are mature and purpose-built.","Running a provided query string requires absolutely zero interpretive judgement.","Hit counts and concordance lines provide clear unambiguous ground truth.","Query variants can be tested but may change linguistic scope and meaning.","Verification is essentially instantaneous by checking hit count and sample lines."
"Lexico-grammatical pattern extraction via dependency parsing (SVO triples)",Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",7,8,8,9,10,7,6,8,9,5,7,8,5,"SVO extraction is feasible but parser errors require manual review and correction.","Lexico-grammatical patterns are important for corpus grammar and pattern research.","Current AI with spaCy or Stanza can parse and extract SVO triples with good accuracy.","Future deep learning parsers will substantially reduce extraction errors.","Near-perfect parsing would make SVO extraction largely fully automatable.","Methods prose can often specify dependencies and triple rules reasonably clearly.","Parser versions and specific dependency rule details are often incompletely reported.","Determinism depends on fixed parser models and preprocessing pipeline settings.","spaCy Stanza and UDPipe provide very robust mature dependency parsing pipelines.","Moderate judgement is needed to validate extracted grammatical relations.","Gold-parsed treebanks and published examples provide limited but useful ground truth.","Parser and confidence thresholds can be varied systematically across models.","Auditing requires manual inspection of sampled parsed triples which takes moderate time."
"Constructional frequency profiling (syntactic construction counts across genres)",Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",6,8,6,9,9,6,5,7,7,7,6,7,6,"Constructional profiling is feasible but annotation-intensive and requires expert linguistic knowledge.","Construction frequencies are central to usage-based grammar and genre comparison research.","Current AI can approximate counts but construction operationalisation remains difficult.","Major progress expected with better parsers and semantic-syntactic models.","With formally defined constructions the task could be highly automatable in principle.","Constructional definitions in prose often resist clean translation into executable queries.","Construction boundaries and genre sampling criteria are often theoretically debated and vague.","Outputs are deterministic only if parsing rules and construction definitions are fully fixed.","Parsing tools help but construction-specific pipelines are uneven across languages and genres.","Substantial theoretical judgement is needed to define and validate what counts as a construction.","Published counts provide partial rather than exhaustive ground truth for comparison.","Definitions and parser settings can be varied but require careful theoretical justification.","Verification requires expert linguistic review of construction matches which is time-consuming."
"Semantic prosody assessment via concordance sampling",Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",6,8,5,8,9,5,4,5,5,9,5,5,8,"Semantic prosody assessment is feasible but requires extensive close reading and interpretation.","Semantic prosody is a major theoretical concept in corpus-assisted discourse studies.","Current AI can summarise concordances but cannot reliably replace expert prosody judgement.","Context-aware AI will increasingly detect evaluative aura but may still need oversight.","Inherent subjectivity and context-dependence caps theoretical full replaceability.","Methods prose rarely yields a fully executable prosody specification or criteria.","Sampling sizes and evaluative classification criteria are often only loosely reported.","Qualitative coding varies with annotator making outputs not fully deterministic.","Concordancers exist but prosody interpretation lacks end-to-end automated tools.","Semantic prosody requires heavy contextual cultural and evaluative human judgement.","Published interpretations provide weak and subjective objective ground truth.","Some sensitivity analysis is possible through sampling and window variation.","Auditing AI prosody claims requires extensive expert human concordance review."
"Discourse preference profiling (co-occurrence of evaluative lexis around a target)",Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",6,8,5,8,9,5,5,7,6,8,5,7,7,"Discourse preference profiling is feasible but analytically demanding and slow.","It is important for linking lexical patterns to discourse meanings and ideology.","Current AI can count co-occurrences but struggles with discourse interpretation nuances.","Future AI should improve evaluative lexicon construction and discourse summarisation.","Even ideal systems must model contextual discourse meaning limiting full automation.","Published prose is hard to convert into exact evaluative categories and criteria.","Lexicons windows and coding criteria are often underreported in publications.","Counts are deterministic but evaluative category assignment may vary.","Tools support co-occurrence counting but not complete CADS interpretation.","High contextual and theoretical judgement is needed for evaluative discourse claims.","Published findings provide partial rather than exact ground truth.","Windows and lexicons can be varied to test sensitivity of discourse findings.","Verification requires reviewing both lexical counts and their discourse interpretations."
"Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference)",Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",9,8,9,10,10,9,9,10,9,3,9,9,3,"Learner overuse/underuse analysis is routine with aligned learner and native corpora.","Overuse and underuse measures are foundational in learner corpus research methodology.","Current AI can compute %DIFF or odds ratios reliably and quickly.","Future AI should automate corpus matching normalisation and reporting completely.","The comparative statistics are purely arithmetic and fully automatable with fixed inputs.","The statistic and reference corpus specification are usually clearly extractable.","Learner grouping and normalisation details are often reported with sufficient explicitness.","Fixed counts and formulas yield deterministic results every time.","Learner corpus tools and statistical packages support the workflow well.","Some judgement is needed to interpret pedagogical relevance of overuse patterns.","Published frequency and effect-size tables provide objective replication targets.","Reference corpus choices and thresholds can be varied systematically.","Verification mainly checks corpus matching and formula application requiring minimal time."
"Error-tagged frequency profiling (tagged error categories across L1 groups)",Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",7,7,6,8,9,6,6,8,6,7,7,7,6,"Error-tag frequency profiling is feasible when pre-existing tags are available but tagging is laborious.","Error profiles are useful for learner corpus diagnosis and SLA research.","Current AI can tabulate existing error tags reliably but cannot create perfect tags autonomously.","Future AI trained on learner data should substantially improve error tagging accuracy.","Given validated tags the profiling step is fully automatable in principle.","Methods can usually specify tag categories and L1 grouping structure.","Error taxonomy details and annotation reliability criteria are sometimes underreported.","Counting existing tags yields deterministic category counts; initial tagging is not deterministic.","Learner corpus tools support tagged frequency profiling but tagging pipelines are limited.","Substantial linguistic judgement remains needed in initial error identification and categorisation.","Tagged corpora and published category tables provide useful but imperfect ground truth.","Groups and category aggregations can be varied systematically once tags exist.","Verification requires checking both tag meanings and frequency calculations with expertise."
"Burrows's Delta authorship attribution (most-frequent-word profiles)",Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",9,8,9,10,10,9,9,10,10,3,9,10,2,"Burrows's Delta is straightforward to compute with stylometric software like stylo.","Delta is a foundational highly influential technique in authorship attribution and stylometry.","Current AI can compute Delta and rank authorship candidates with full reliability.","Future AI should automate robust stylometric pipelines completely without oversight.","The Delta calculation is purely mathematical and fully automatable with fixed preprocessing.","Burrows's procedure is fully formal with explicit z-score transformations documented.","MFW count feature standardisation and distance metric settings are usually reported.","Fixed corpora and parameters yield identical Delta scores deterministically every time.","The stylo R package is purpose-built and provides mature Delta implementation.","Limited judgement is needed beyond corpus preparation and final attribution interpretation.","Known authorship labels provide strong objective evaluation and ground truth.","Feature counts MFW ranges and normalisation settings can be swept trivially.","Verification mainly checks preprocessing and score reproduction requiring minimal time."
"Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm)",Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",7,7,7,9,9,6,5,9,8,6,7,8,5,"Foregrounding profiling is feasible but needs literary-stylistic interpretation beyond statistics.","It is significant for quantitative literary stylistics and computational literary analysis.","Current AI can detect deviant frequencies but interprets literary significance imperfectly.","Future AI should better link statistical deviations to stylistic and literary explanation.","Formalised foregrounding detection is largely automatable but interpretation limits ceiling.","Methods prose may not fully specify genre norms deviation thresholds or reference corpora.","Reference norms and lexical filtering criteria are often only partly implicit in publications.","Fixed norms and statistics yield deterministic deviance lists.","Keyness and stylometry tools support much of the computational workflow.","Substantial judgement is needed to interpret statistical foregrounding as literary significance.","Published lists and examples offer partial ground truth for the statistical component.","Reference corpora and thresholds can be varied systematically to test robustness.","Auditing requires checking both statistical outputs and literary interpretation validity."
"COHA/COCA diachronic frequency trajectory (normalised frequency across decades)",Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",9,8,9,10,10,9,9,10,10,2,9,9,2,"COHA or COCA trajectory extraction is highly feasible and routine for corpus users.","Diachronic frequency trajectories are central to historical corpus research methodology.","Current AI can query and normalise decade frequencies reliably via APIs or downloads.","Future AI will automate trajectory collection and plotting completely and instantly.","The normalised trajectory task is purely arithmetic and fully automatable.","Corpus name decade bins and normalisation method are easy to specify explicitly.","Exact query syntax and corpus version may still need explicit reporting.","Fixed queries and corpus versions yield identical frequency values deterministically.","COHA and COCA interfaces and APIs support decade frequency retrieval maturely.","Very little judgement is needed to produce the raw frequency trajectory.","Published frequency curves or tables provide clear objective replication targets.","Bins smoothing and query variants can be varied easily and systematically.","Verification mostly checks query syntax and normalisation requiring minimal time."
"Semantic change detection via co-occurrence shift",Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",6,9,7,9,10,7,6,7,8,5,7,9,5,"Co-occurrence shift analysis is feasible but technically demanding and computationally intensive.","Semantic change detection is highly significant in computational historical semantics.","Current AI can implement diachronic embeddings but results still need expert validation.","Future AI should improve reproducibility and interpretability of semantic shift detection.","A fully specified distributional model could automate the entire detection task.","Hamilton et al.'s procedure is well-documented but embedding pipelines are complex.","Hyperparameters and corpus preprocessing details are often incompletely reported.","Embedding training is stochastic unless random seeds and settings are strictly controlled.","Gensim HistWords and dynamic embedding libraries provide robust support.","Interpretation of detected semantic shifts requires contextual linguistic judgement.","SemEval datasets and published nearest-neighbour shifts give imperfect ground truth.","Embedding parameters alignment methods and windows can be varied systematically.","Verification requires technical pipeline checks plus semantic interpretation review."
"Biber-style factor score computation (weighted linguistic feature counts)",Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",7,9,8,9,10,7,7,9,7,4,8,9,4,"Biber-style factor scoring is feasible with feature tagging tools and applied weights.","MD factor scores are foundational for register variation analysis across all corpus work.","Current AI can compute scores if features are operationalised using MAT or similar taggers.","Future AI should automate feature extraction and factor scoring more reliably.","Fixed feature weights make the scoring computation fully automatable in principle.","Biber's tagset and weights are documented but the full feature list is dense to extract.","Tagger choices and feature operationalisations may be underreported in some studies.","Fixed counts and weights yield deterministic factor scores every time.","MAT and the Biber Tagger exist though setup can be complex or proprietary.","Some judgement is needed in feature operationalisation and mapping to tagger output.","Published dimension scores provide useful and objective replication targets.","Feature sets and weighting schemes can be varied systematically to test sensitivity.","Verification requires checking feature extraction accuracy as well as arithmetic."
"Register comparison via MD dimension scores (e.g., Dimension 1: Involved vs. Informational)",Multi-Dimensional Analysis,"Biber, D., & Conrad, S. (2009). Register, genre, and style. Cambridge University Press.",7,9,8,9,10,8,7,10,8,5,8,9,4,"MD register comparison is feasible with prepared factor scores and standard statistics.","It is central to register genre and style analysis in corpus linguistics.","Current AI can compute comparisons but deeper interpretation needs expertise.","Future AI should automate most scoring comparative reporting and visualisation.","With fixed dimensions the statistical comparison is theoretically fully automatable.","Dimension definitions and score computation procedure are usually well-extractable.","Register sampling and specific feature extraction settings may be incompletely reported.","Fixed scores and grouping rules yield deterministic comparison statistics.","Tagging and statistical tools support MD comparisons well and maturely.","Moderate judgement is needed to interpret dimension meanings for new registers.","Published register means and plots provide useful comparison targets.","Grouping bootstrapping and feature variants are tractable to explore.","Auditing focuses on feature extraction accuracy and statistical summary correctness."
"Filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups)",Corpus Phonology / Spoken Corpus,"Tottie, G. (2011). Uh and um as sociolinguistic markers in British English. International Journal of Corpus Linguistics, 16(2), 173–197.",9,6,9,10,10,9,9,10,9,2,9,9,2,"Filled-pause profiling is trivially simple with transcribed spoken corpora and concordancers.","The task is useful for spoken sociolinguistic description but represents a niche metric.","Current AI can count uh and um tokens accurately in transcripts without difficulty.","Future AI will fully automate counting across speaker demographic metadata completely.","The frequency calculation is completely automatable with fixed transcripts and token forms.","Target token forms and normalisation method are easily and trivially specifiable.","Speaker groups and transcription conventions may need explicit clarification.","Fixed transcripts and token matching rules yield deterministic rates every time.","Corpus and speech transcript tools support this simple workflow very well.","Very little human interpretation is needed to count and normalise filled pauses.","Published rates by speaker group provide direct objective ground truth.","Token variants and demographic group definitions can be varied easily.","Verification requires only quick checks of token matching rules and denominators."
"Turn-taking pattern frequency analysis (overlap and latency distributions)",Corpus Phonology / Spoken Corpus,"Stivers, T., Enfield, N. J., Brown, P., Englert, C., Hayashi, M., Heinemann, T., … Levinson, S. C. (2009). Universals and cultural variation in turn-taking in conversation. PNAS, 106(26), 10587–10592.",5,8,5,8,9,6,5,8,7,7,6,7,7,"Turn-taking analysis is feasible but requires precise time alignment and careful coding.","Turn timing is important for conversation analysis and cross-cultural interaction research.","Current AI can estimate overlaps and latencies from alignments but needs supervision.","Future AI should improve diarisation and timing extraction substantially.","With perfect alignment the distributions are highly automatable computationally.","Methods prose may not specify all annotation timing and boundary definition rules.","Overlap definitions latency thresholds and exclusion criteria are often underreported.","Outputs are deterministic only after alignment and coding decisions are completely fixed.","ELAN Praat and diarisation tools exist but end-to-end pipelines remain fragile.","Defining turn boundaries can involve significant qualitative conversational analysis judgement.","Published distributions provide partial rather than fully complete ground truth.","Latency thresholds can be varied but coding rules constrain what robustness checks are possible.","Auditing requires substantial review of audio timestamps and annotation decisions."
