task,area of research,notable human research,1. Human Feasibility,2. Research Significance,3. Current AI Replaceability,4. AI Replaceability in 10 Years,5. Theoretical Maximum AI Replaceability,6. Specification Extractability,7. Parameter Explicitness,8. Execution Determinism,9. Tool-chain Maturity,10. Interpretive Judgement Load,11. Evaluation / Ground-Truth Availability,12. Robustness Tractability,13. Verification Cost,14. Human Feasibility - Explanation,15. Research Significance - Explanation,16. Current AI Replaceability - Explanation,17. AI Replaceability in 10 Years - Explanation,18. Theoretical Maximum AI Replaceability - Explanation,19. Specification Extractability - Explanation,20. Parameter Explicitness - Explanation,21. Execution Determinism - Explanation,22. Tool-chain Maturity - Explanation,23. Interpretive Judgement Load - Explanation,24. Evaluation / Ground-Truth Availability - Explanation,25. Robustness Tractability - Explanation,26. Verification Cost - Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",8,8,9,10,10,7,7,10,9,2,9,9,2,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",8,8,9,10,10,9,7,10,9,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","The parameters and thresholds for this task are usually explicitly stated in methodology sections, making extraction straightforward.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",7,8,9,10,10,7,7,10,7,5,7,7,5,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",7,8,9,10,10,7,7,10,9,2,9,9,2,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",8,8,4,6,10,5,4,4,9,9,7,7,8,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI struggles with the nuanced contextual and cultural interpretation required for this meaning-driven analysis.,"While improving, highly subjective and deeply contextual human interpretation will remain challenging to fully automate.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Methodological descriptions for this task often lack explicit procedural steps, relying heavily on implicit researcher knowledge.",Authors often fail to explicitly document the qualitative coding criteria and subjective thresholds applied during the analysis.,"Execution relies on probabilistic models or subjective human judgment, meaning identical inputs rarely produce identical outputs.","Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","The core of this task requires heavy contextual interpretation, theoretical reasoning, and qualitative human judgment.","Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Verifying the output requires extensive human time to manually re-read texts and audit complex qualitative coding decisions.
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",7,8,4,6,8,5,7,10,5,9,4,3,8,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI struggles with the nuanced contextual and cultural interpretation required for this meaning-driven analysis.,"While improving, highly subjective and deeply contextual human interpretation will remain challenging to fully automate.","Subjective interpretation of meaning and communicative intent inherently limits absolute, theoretically perfect AI replacement.","Methodological descriptions for this task often lack explicit procedural steps, relying heavily on implicit researcher knowledge.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Software tools exist for data management, but the core analytical steps lack mature, fully automated tool-chains.","The core of this task requires heavy contextual interpretation, theoretical reasoning, and qualitative human judgment.","Ground truth is highly subjective, making it difficult to objectively measure replication success without inter-rater reliability metrics.",Systematic parameter variation is computationally difficult because the task relies on rigid qualitative coding frameworks rather than numerical variables.,Verifying the output requires extensive human time to manually re-read texts and audit complex qualitative coding decisions.
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",7,8,9,10,10,7,7,10,9,2,9,9,2,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",8,8,7,9,10,7,7,10,7,5,7,7,5,This task relies on standard analytical procedures that are highly feasible for human researchers with adequate time.,"This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can handle the technical implementation but may require human guidance for precise theoretical parameterisation.,Future AI agents will likely master the standard parameters and contextual nuances needed to automate this reliably.,"Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Established scripts and packages are available, though they may require some custom configuration for this specific task.",The task involves a balance of automated statistical calculation and subsequent qualitative human review.,"Replication can largely be evaluated against published results, though minor discrepancies in tokenisation may complicate exact matching.","The AI can systematically alter primary parameters, though some complex pre-processing variations might be intractable.",Auditing the AI's output requires a moderate amount of human time to check both the statistical results and the underlying logic.
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",7,8,9,10,10,7,7,10,9,2,9,9,2,"Humans can perform this task through manual counting, though it is extremely tedious and time-consuming at scale.","This procedure provides standard, significant quantitative evidence essential for empirical claims in this specific sub-field.",Current AI can easily generate and execute the scripts required for this highly structured and mathematical task.,"Within a decade, AI systems will flawlessly automate this task end-to-end with perfect accuracy.","Given no practical constraints, a perfectly rational AI could entirely replace a human for this defined analytical procedure.","Most published papers describe this method adequately enough for an AI to extract a workable, structured specification.","Literature usually reports the core parameters, though minor pre-processing steps may be omitted.",This is a strictly mathematical and algorithmic procedure that guarantees identical outputs given identical inputs and parameters.,"Highly established, robust tools and standard libraries (e.g., AntConc, R packages) exist to execute this end-to-end.","This task is primarily statistical and computational, requiring minimal qualitative interpretation during the execution phase.",AI replication success can be objectively and mathematically verified against published word lists or statistical tables.,An AI can trivially loop through varying statistical thresholds and span parameters to systematically map finding sensitivity.,A human can quickly verify the output by checking standard statistical metrics and top-N lists against expectations.
