task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",7,8,8,10,10,8,8,10,8,3,8,10,8,Computing DP by hand is tedious but feasible.,Crucial dispersion measure in modern corpus linguistics.,AI can compute DP reliably.,Fully automatable.,Fully automatable.,Gries documents DP precisely.,Part sizes and corpus splits typically reported.,Deterministic.,R packages and Gries's scripts implement DP.,Low interpretive load.,Published DP values verifiable.,Partition schemes easily varied.,Low audit cost.
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",7,7,8,10,10,8,8,10,8,3,8,10,8,Juilland's D is a standard calculation.,Classic dispersion measure still referenced.,AI can compute Juilland's D directly.,Fully automatable.,Fully automatable.,Formula is well specified.,Partitioning is typically reported.,Deterministic.,Available in R and Python corpus packages.,Low interpretive load.,Published D values verifiable.,Partitions vary easily.,Low audit cost.
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",7,8,7,9,10,7,6,9,7,5,7,9,7,Trade-off mapping demands iterative analysis.,Theoretically important for frequency studies.,AI can generate the maps with oversight.,Near-full automation expected.,Fully automatable.,Procedure often documented informally.,Parameters partially explicit.,Deterministic given settings.,Scripts exist but ad hoc.,Interpretation of trade-offs requires judgement.,Plots comparable to published ones.,Easy to sweep parameters.,Moderate audit cost.
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",9,8,9,10,10,9,9,10,10,2,9,9,9,CQL queries are routine for trained analysts.,Backbone of corpus-based grammatical research.,Modern LLMs can translate prose to CQL.,Fully automatable.,Fully automatable.,Queries explicitly stated in methods.,Queries usually reported verbatim.,Deterministic given corpus version.,"CQPweb, Sketch Engine, NoSketch Engine mature.",Minimal judgement for execution.,Concordance counts verifiable.,Query variants easily explored.,Low audit cost.
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",7,8,7,9,10,8,7,9,9,4,7,9,7,Dependency-based SVO extraction needs scripting.,Important for lexico-grammatical studies.,AI can run parsing pipelines competently.,Highly automatable.,Fully automatable pending parser quality.,Specifications often name parser and rules.,Parser and rules sometimes partial.,Mostly deterministic given parser version.,"spaCy, Stanza, Stanford parsers mature.",Some judgement in rule design.,Triples comparable to published samples.,Rules easily varied.,Moderate audit cost.
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",6,8,6,9,10,6,5,8,7,6,6,8,6,Constructional counting requires careful annotation.,Central to construction grammar research.,AI with guidance can approximate counts.,Substantially automatable.,Fully automatable in principle.,Construction definitions often narrative.,Operationalisations under-specified.,Deterministic once operationalised.,Parsers and pattern matchers available.,High theoretical judgement required.,Some ground-truth counts published.,Definitions varyable with care.,Moderate-to-high audit cost.
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",8,8,4,7,9,5,4,4,5,9,3,5,4,Humans sample concordances quickly but subjectively.,Core CADS methodology.,AI struggles with nuanced prosody judgements.,Improvement likely but still bounded.,Ceiling capped by interpretive nature.,Procedure often qualitative in prose.,Sampling parameters rarely precise.,Non-deterministic due to qualitative coding.,Concordancers exist but judgement remains human.,Heavy interpretive judgement.,No objective ground truth for prosody.,Some robustness via resampling.,High verification cost.
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",6,7,5,8,9,5,4,5,6,8,4,6,5,Feasible manually with sufficient labour.,Important for discourse-analytic studies.,AI gives partial support for co-occurrence mining.,Expected improvement but judgement remains.,Upper bound limited by interpretive coding.,Definitions often vague.,Evaluative lexis lists sometimes partial.,Partly deterministic.,Concordancers and sentiment tools help.,Heavy discourse interpretation needed.,Ground truth scarce.,Parameters varyable.,High audit cost.
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",7,8,7,9,10,7,7,9,8,4,7,9,7,Learner corpus comparisons feasible manually.,Central to learner corpus research.,AI can compute %DIFF/odds-ratio directly.,Fully automatable.,Fully automatable.,Measures usually specified.,Parameters generally reported.,Deterministic.,CIA tools and R packages support it.,Some judgement on reference corpus choice.,Published comparisons verifiable.,Parameters varyable.,Low audit cost.
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",5,7,5,8,9,5,4,8,6,6,6,8,6,Human error tagging is labour-intensive.,Important for SLA research.,AI tagging still imperfect for errors.,Substantial automation expected.,Automatable given better taggers.,Error taxonomies often schema-heavy.,Parameters partially reported.,Deterministic given tagger.,Error taggers exist but vary.,Judgement heavy in error categorisation.,Published error tables verifiable.,Varyable with effort.,Moderate audit cost.
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",8,8,9,10,10,9,9,10,10,2,9,10,9,Delta is straightforward to compute.,Classic stylometric method.,AI runs Delta robustly.,Fully automatable.,Fully automatable.,Word-count and distance metrics specified.,Parameters standardly reported.,Deterministic.,stylo R package and others mature.,Minimal interpretation.,Attribution accuracy objectively measurable.,MFW sizes easily varied.,Low audit cost.
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",6,7,6,9,10,6,5,8,7,6,6,8,6,Manual foregrounding analysis is demanding.,Central to corpus stylistics.,AI support partial due to qualitative content.,Improving but interpretive bounds remain.,Bounded by aesthetic interpretation.,Definitions often literary.,Parameters under-specified.,Deterministic statistic but subjective coding.,Concordancers plus stats help.,Heavy literary judgement.,Limited objective ground truth.,Parameters varyable.,Moderate-to-high audit cost.
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",8,8,9,10,10,9,9,10,9,2,9,10,9,Feasible with COHA/COCA access.,Mainstream diachronic method.,AI can pull trajectories via APIs.,Fully automatable.,Fully automatable.,Procedures explicitly documented.,Normalisation parameters typically reported.,Deterministic.,COCA/COHA interfaces well established.,Low interpretive load.,Published trajectories verifiable.,Time bins vary easily.,Low audit cost.
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",6,8,7,10,10,7,6,8,8,5,6,9,7,Manual detection is difficult across large corpora.,Growing area in diachronic semantics.,AI embeddings partially capture change.,Substantial progress expected.,Automatable but evaluation challenging.,"Methods often innovative, less standardised.",Parameters partially reported.,Mostly deterministic given models.,Word2vec/BERT diachronic tools exist.,Semantic interpretation needed.,SemEval benchmarks provide some ground truth.,Parameters varyable.,Moderate audit cost.
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",7,8,7,9,10,8,7,10,8,4,8,9,7,Biber MD is laborious by hand.,Foundational register-variation method.,AI pipelines can compute factor scores.,Fully automatable.,Fully automatable.,Feature lists documented by Biber.,Weights and features reported.,Deterministic given tagger.,MAT tool and Nini's MFTE mature.,Some judgement in interpretation.,Published dimension scores verifiable.,Feature sets easily varied.,Low-to-moderate audit cost.
"Register comparison via MD dimension scores (e.g., Dimension 1: Involved vs. Informational)",Multi-Dimensional Analysis,"Biber, D., & Conrad, S. (2009). Register, genre, and style. Cambridge University Press.",7,8,7,9,10,8,7,10,8,4,8,9,7,Human computation possible with MAT output.,Key comparative register method.,AI handles it with existing pipelines.,Fully automatable.,Fully automatable.,Procedure documented.,Dimensions and weights published.,Deterministic.,MAT available.,Some interpretive layer.,Dimension scores verifiable.,Easy sweeps.,Low audit cost.
Filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups),Corpus Phonology / Spoken Corpus,"Tottie, G. (2011). Uh and um as sociolinguistic markers in British English. International Journal of Corpus Linguistics, 16(2), 173–197.",8,7,8,10,10,8,8,10,9,3,8,10,8,Counting pauses is feasible manually.,Relevant for spoken corpus research.,AI can extract filled pauses from transcripts.,Fully automatable.,Fully automatable.,Specs clear for token-based counts.,Parameters routinely reported.,Deterministic given transcription.,Standard tokenisers suffice.,Low interpretive load.,Counts verifiable.,Groups easily varied.,Low audit cost.
Turn-taking pattern frequency analysis (overlap and latency distributions),Corpus Phonology / Spoken Corpus,"Stivers, T., Enfield, N. J., Brown, P., Englert, C., Hayashi, M., Heinemann, T., … Levinson, S. C. (2009). Universals and cultural variation in turn-taking in conversation. PNAS, 106(26), 10587–10592.",5,7,5,8,9,5,4,7,6,6,6,8,6,Manual analysis of overlap/latency is slow.,Important in conversation analysis.,AI support limited without aligned audio.,Substantial automation with better aligners.,Automatable with aligned data.,Definitions often narrative.,Parameters partial.,Mostly deterministic given aligned data.,"ELAN, Praat provide support.",CA-style judgement required.,Ground-truth distributions sometimes published.,Parameters varyable.,Moderate audit cost.
Dictionary-based sentiment frequency analysis (LIWC or similar fixed lexicon),Sentiment / Stance Corpus,"Pennebaker, J. W., Boyd, R. L., Jordan, K., & Blackburn, K. (2015). The development and psychometric properties of LIWC2015. University of Texas at Austin.",9,7,9,10,10,9,9,10,10,2,9,10,9,Dictionary lookups are trivial.,Widely used in stance/sentiment studies.,AI runs LIWC-style counts easily.,Fully automatable.,Fully automatable.,Lexicons fully specified.,Parameters reported.,Deterministic.,"LIWC, VADER, etc. mature.",Minimal interpretation.,Frequencies verifiable.,Lexicons/thresholds easily varied.,Low audit cost.
Epistemic stance marker frequency comparison (hedges and boosters across genres),Sentiment / Stance Corpus,"Hyland, K. (1998). Hedging in scientific research articles. John Benjamins.",7,8,7,9,10,7,6,9,8,5,7,9,7,Possible manually with hedge/booster lists.,Important in academic discourse research.,AI can apply lists to corpora.,Fully automatable.,Fully automatable.,Marker lists often published.,Parameters partially reported.,Deterministic given lists.,Concordancers and scripts help.,Some judgement on borderline markers.,Published counts verifiable.,Lists easily varied.,Moderate audit cost.
Lexical bundle extraction (Biber-style),Phraseology,"Biber, D., Conrad, S., & Cortes, V. (2004). If you look at…: Lexical bundles in university teaching and textbooks. Applied Linguistics, 25(3), 371–405.",9,9,9,10,10,9,9,10,10,2,9,10,9,Lexical bundle extraction is straightforward.,Biber's method is standard in phraseology.,AI replicates bundles well.,Fully automatable.,Fully automatable.,"Length, frequency, range thresholds explicit.",Parameters routinely reported.,Deterministic.,"kfNgram, quanteda, AntConc support it.",Minimal interpretation.,Published bundle lists verifiable.,Thresholds easily varied.,Low audit cost.
Phraseological frame profiling (p-frames / skipgrams),Phraseology,"Gray, B., & Biber, D. (2013). Lexical frames in academic prose and conversation. International Journal of Corpus Linguistics, 18(1), 109–136.",8,7,8,10,10,8,8,10,9,3,8,10,8,Feasible but heavy on data.,Growing area in phraseology.,AI can compute p-frames/skipgrams.,Fully automatable.,Fully automatable.,Procedures documented.,Parameters usually reported.,Deterministic.,Custom scripts and quanteda.,Low-to-moderate judgement.,Published frames verifiable.,Slots easily varied.,Low audit cost.
Colligation profiling,Grammar–Lexis Interface,"Hoey, M. (2005). Lexical priming: A new theory of words and language. Routledge.",7,7,7,9,10,7,6,9,8,5,7,9,7,Colligation analysis requires parsing plus stats.,Core to grammar-lexis interface.,AI can script pipelines.,Substantially automatable.,Fully automatable.,Specifications sometimes partial.,Parameters partial.,Deterministic given parser.,Parsers and concordancers mature.,Some judgement on tagsets.,Published profiles verifiable.,Parameters varyable.,Moderate audit cost.
"Translation universals testing (simplification, explicitation, normalisation)",Corpus-Based Translation Studies,"Baker, M. (1993). Corpus linguistics and translation studies: Implications and applications. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 233–250). John Benjamins.",5,8,5,8,9,5,4,7,6,7,5,8,5,Manually testing universals is demanding.,Core issue in translation studies.,AI helps but framing is interpretive.,Improvement expected.,Bounded by construct operationalisation.,Operationalisations vary widely.,Parameters often unclear.,Deterministic once operationalised.,Toolchains exist but ad hoc.,Theoretical judgement heavy.,Ground truth contested.,Varyable with effort.,Moderate-to-high audit cost.
TTR and MTLD comparison across text types,Lexical Richness / Variation,"McCarthy, P. M., & Jarvis, S. (2010). MTLD, vocd-D, and HD-D: A validation study of sophisticated approaches to lexical diversity assessment. Behavior Research Methods, 42(2), 381–392.",9,7,9,10,10,9,9,10,10,2,9,10,9,TTR/MTLD are simple computations.,Standard lexical-richness metrics.,AI executes them trivially.,Fully automatable.,Fully automatable.,Formulas well specified.,Parameters reported.,Deterministic.,TAALED and R packages available.,Minimal interpretation.,Verifiable numerically.,Parameters varyable.,Low audit cost.
Automatic term extraction (C-value / NC-value),Terminology Extraction,"Frantzi, K., Ananiadou, S., & Mima, H. (2000). Automatic recognition of multi-word terms: The C-value/NC-value method. International Journal on Digital Libraries, 3(2), 115–130.",7,7,8,10,10,8,8,10,9,3,8,10,8,C-value/NC-value implementable in code.,Core terminology extraction method.,AI runs ATE pipelines.,Fully automatable.,Fully automatable.,Algorithms well documented.,Parameters typically reported.,Deterministic.,"TermSuite, ATR4S available.",Low interpretive load.,Published term lists verifiable.,Parameters varyable.,Low-to-moderate audit cost.
MIPVU metaphor identification on corpus data,Corpus-Based Metaphor Studies,"Steen, G. J., Dorst, A. G., Herrmann, J. B., Kaal, A. A., Krennmayr, T., & Pasma, T. (2010). A method for linguistic metaphor identification: From MIP to MIPVU. John Benjamins.",4,8,4,7,9,4,3,5,5,9,4,5,4,Manual MIPVU coding is slow and expert-dependent.,Key method in metaphor research.,AI metaphor identification still weak.,Substantial improvement likely.,Ceiling limited by interpretive nature.,Protocol documented but judgement-laden.,Parameters partially explicit.,Non-deterministic due to coders.,VU-AMC tools exist but limited.,Very heavy interpretive judgement.,Gold-standard corpora exist (VUAMC).,Parameters varyable.,High audit cost.
LDA topic modelling for corpus exploration,Computational Corpus Exploration,"Brookes, G., & McEnery, T. (2019). The utility of topic modelling for discourse studies: A critical evaluation. Discourse Studies, 21(1), 3–21.",8,7,8,10,10,8,7,6,10,5,6,9,7,LDA is tractable with libraries.,Widely used for exploration.,AI runs LDA easily.,Fully automatable.,Fully automatable.,Hyperparameters usually specified.,Parameters often reported.,Non-deterministic without seed.,"gensim, MALLET mature.",Topic labelling needs judgement.,Coherence metrics give partial ground truth.,Hyperparameters easily swept.,Moderate audit cost.
Effect-size-based keyness meta-analysis (Log Ratio / %DIFF),Keyness Meta-Analysis,"Hardie, A. (2014). Log Ratio: An informal introduction [Blog post]. ESRC Centre for Corpus Approaches to Social Science (CASS).",9,7,9,10,10,9,9,10,9,2,9,10,9,Log Ratio/%DIFF are simple statistics.,Important for keyness meta-analysis.,AI computes effect sizes directly.,Fully automatable.,Fully automatable.,Formulas explicit.,Parameters routinely reported.,Deterministic.,CQPweb and R implement it.,Minimal interpretation.,Verifiable numerically.,Parameters varyable.,Low audit cost.
Register-feature co-occurrence network analysis,Register / Genre Analysis,"Brezina, V., McEnery, T., & Wattam, S. (2015). Collocations in context: A new perspective on collocation networks. International Journal of Corpus Linguistics, 20(2), 139–173.",6,7,6,9,10,6,5,8,7,5,6,8,6,Network analysis feasible but laborious.,Relevant for register theory.,AI with graph tools gives partial automation.,Substantial improvement expected.,Fully automatable in principle.,Methods often ad hoc.,Parameters partially specified.,Deterministic given settings.,"igraph, networkx available.",Interpretation of networks needed.,Limited ground truth.,Parameters varyable.,Moderate audit cost.
Collexeme analysis (construction–lexeme attraction),Collostructional Analysis,"Stefanowitsch, A., & Gries, S. Th. (2003). Collostructions: Investigating the interaction of words and constructions. International Journal of Corpus Linguistics, 8(2), 209–243.",7,8,8,10,10,8,8,10,8,3,8,10,8,Collexeme analysis doable with Stefanowitsch's scripts.,Central to collostructional analysis.,AI runs collexeme analyses.,Fully automatable.,Fully automatable.,Procedure well documented.,Parameters typically reported.,Deterministic.,R Coll.analysis scripts mature.,Low-to-moderate interpretation.,Rankings verifiable.,Parameters varyable.,Low audit cost.
Distinctive collexeme analysis (near-synonymous construction comparison),Collostructional Analysis,"Gries, S. Th., & Stefanowitsch, A. (2004). Extending collostructional analysis: A corpus-based perspective on 'alternations'. International Journal of Corpus Linguistics, 9(1), 97–129.",7,8,8,10,10,8,8,10,8,3,8,10,8,Distinctive collexeme similarly tractable.,Key for near-synonym contrasts.,AI executes it directly.,Fully automatable.,Fully automatable.,Specifications clear.,Parameters typically reported.,Deterministic.,Same R toolchain available.,Some interpretive work in synonym choice.,Rankings verifiable.,Parameters varyable.,Low audit cost.
Behavioural profile analysis (polysemy clustering via ID tags),Corpus-Based Cognitive Linguistics,"Gries, S. Th., & Divjak, D. (2009). Behavioral profiles: A corpus-based approach to cognitive semantic analysis. In V. Evans & S. Pourcel (Eds.), New directions in cognitive linguistics (pp. 57–75). John Benjamins.",5,7,5,8,9,5,4,7,6,7,5,8,5,Behavioural profiling requires heavy annotation.,Influential in cognitive corpus linguistics.,AI support partial due to ID tagging.,Substantial improvement expected.,Bounded by annotation quality.,Annotation schemas complex.,Parameters often partial.,Deterministic given annotations.,R clustering tools available.,Theoretical judgement required.,Published clusters verifiable.,Parameters varyable.,Moderate-to-high audit cost.
Idiolectal style marker profiling,Forensic Linguistics,"Grant, T. (2013). TXT 4N6: Method, consistency, and distinctiveness in the analysis of SMS text messages. Journal of Law and Policy, 21(2), 467–494.",5,7,5,8,9,5,4,7,6,7,5,8,5,Human stylistic profiling is expert-driven.,Important forensic application.,AI stylometry covers part of it.,Substantial progress expected.,Bounded by forensic validity.,Features often bespoke.,Parameters partially documented.,Deterministic given feature sets.,stylo and custom tools exist.,Interpretive judgement heavy.,Ground truth limited and case-specific.,Parameters varyable.,Moderate audit cost.
Speech-act frequency profiling in spoken corpora,Corpus Pragmatics,"Aijmer, K., & Rühlemann, C. (Eds.). (2015). Corpus pragmatics: A handbook. Cambridge University Press.",5,7,4,8,9,4,3,6,5,8,4,6,4,Speech-act coding is labour-intensive.,Important in pragmatics research.,AI classification still limited in accuracy.,Substantial improvement expected.,Bounded by pragmatic nuance.,Taxonomies vary across studies.,Parameters rarely explicit.,Non-deterministic due to coder variability.,DA taggers exist but noisy.,Heavy pragmatic interpretation.,Some annotated corpora exist.,Parameters varyable.,High audit cost.
