task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",8,8,9,10,10,9,8,10,9,2,8,9,3,DP-based dispersion analysis (Gries's Deviation of Proportions) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,DP-based dispersion analysis (Gries's Deviation of Proportions) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of DP-based dispersion analysis (Gries's Deviation of Proportions) once the corpus, preprocessing, and parameters are specified.","Over the next decade, DP-based dispersion analysis (Gries's Deviation of Proportions) is likely to become almost fully automatable under ordinary research conditions.","In principle, DP-based dispersion analysis (Gries's Deviation of Proportions) could be almost completely automated if perfect models and tooling were available.",Published descriptions of DP-based dispersion analysis (Gries's Deviation of Proportions) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on DP-based dispersion analysis (Gries's Deviation of Proportions) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, DP-based dispersion analysis (Gries's Deviation of Proportions) should return the same output on repeated runs.",Established corpus or NLP software can already execute DP-based dispersion analysis (Gries's Deviation of Proportions) end to end with relatively little custom engineering.,DP-based dispersion analysis (Gries's Deviation of Proportions) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for DP-based dispersion analysis (Gries's Deviation of Proportions) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",DP-based dispersion analysis (Gries's Deviation of Proportions) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for DP-based dispersion analysis (Gries's Deviation of Proportions) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",8,6,9,10,10,9,8,10,7,2,8,9,3,Juilland's D comparison across registers is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Juilland's D comparison across registers is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of Juilland's D comparison across registers once the corpus, preprocessing, and parameters are specified.","Over the next decade, Juilland's D comparison across registers is likely to become almost fully automatable under ordinary research conditions.","In principle, Juilland's D comparison across registers could be almost completely automated if perfect models and tooling were available.",Published descriptions of Juilland's D comparison across registers are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Juilland's D comparison across registers usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Juilland's D comparison across registers should return the same output on repeated runs.","There are workable tools for Juilland's D comparison across registers, but researchers still need some bespoke scripting or manual intervention.",Juilland's D comparison across registers is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Juilland's D comparison across registers can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Juilland's D comparison across registers lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Juilland's D comparison across registers can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",8,7,8,10,10,9,8,10,9,4,8,9,3,Frequency vs. dispersion trade-off mapping is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Frequency vs. dispersion trade-off mapping is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of Frequency vs. dispersion trade-off mapping once the corpus, preprocessing, and parameters are specified.","Over the next decade, Frequency vs. dispersion trade-off mapping is likely to become almost fully automatable under ordinary research conditions.","In principle, Frequency vs. dispersion trade-off mapping could be almost completely automated if perfect models and tooling were available.",Published descriptions of Frequency vs. dispersion trade-off mapping are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Frequency vs. dispersion trade-off mapping usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Frequency vs. dispersion trade-off mapping should return the same output on repeated runs.",Established corpus or NLP software can already execute Frequency vs. dispersion trade-off mapping end to end with relatively little custom engineering.,Frequency vs. dispersion trade-off mapping is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Frequency vs. dispersion trade-off mapping can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Frequency vs. dispersion trade-off mapping lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Frequency vs. dispersion trade-off mapping can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",9,7,10,10,10,10,10,10,10,1,8,9,2,CQL/CQP concordance search with explicit query string is straightforward for a human analyst with standard corpus tools and limited manual judgement.,CQL/CQP concordance search with explicit query string is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of CQL/CQP concordance search with explicit query string once the corpus, preprocessing, and parameters are specified.","Over the next decade, CQL/CQP concordance search with explicit query string is likely to become almost fully automatable under ordinary research conditions.","In principle, CQL/CQP concordance search with explicit query string could be almost completely automated if perfect models and tooling were available.",Published descriptions of CQL/CQP concordance search with explicit query string are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on CQL/CQP concordance search with explicit query string usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, CQL/CQP concordance search with explicit query string should return the same output on repeated runs.",Established corpus or NLP software can already execute CQL/CQP concordance search with explicit query string end to end with relatively little custom engineering.,CQL/CQP concordance search with explicit query string is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for CQL/CQP concordance search with explicit query string can be checked against published counts, rankings, or model outputs with fairly objective criteria.",CQL/CQP concordance search with explicit query string lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for CQL/CQP concordance search with explicit query string can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",5,8,7,9,10,7,6,8,8,4,7,8,5,"Lexico-grammatical pattern extraction via dependency parsing (SVO triples) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Lexico-grammatical pattern extraction via dependency parsing (SVO triples) is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Lexico-grammatical pattern extraction via dependency parsing (SVO triples) but still benefits from human oversight on setup or interpretation.,"Over the next decade, Lexico-grammatical pattern extraction via dependency parsing (SVO triples) is likely to become almost fully automatable under ordinary research conditions.","In principle, Lexico-grammatical pattern extraction via dependency parsing (SVO triples) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Lexico-grammatical pattern extraction via dependency parsing (SVO triples), but important steps are often implicit or scattered across the paper.",Papers on Lexico-grammatical pattern extraction via dependency parsing (SVO triples) often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Lexico-grammatical pattern extraction via dependency parsing (SVO triples) should return the same output on repeated runs.",Established corpus or NLP software can already execute Lexico-grammatical pattern extraction via dependency parsing (SVO triples) end to end with relatively little custom engineering.,Lexico-grammatical pattern extraction via dependency parsing (SVO triples) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Lexico-grammatical pattern extraction via dependency parsing (SVO triples) offers some objective checks, but exact success is only partly measurable against the published result.",Lexico-grammatical pattern extraction via dependency parsing (SVO triples) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for Lexico-grammatical pattern extraction via dependency parsing (SVO triples) requires a moderate human audit rather than a quick spot-check.
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",5,8,5,7,8,5,4,6,6,8,5,6,7,"Constructional frequency profiling is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Constructional frequency profiling is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Constructional frequency profiling but still benefits from human oversight on setup or interpretation.,"Over the next decade, AI should handle more of Constructional frequency profiling but humans will still matter for boundary cases.","Even under idealized conditions, Constructional frequency profiling would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Constructional frequency profiling, but important steps are often implicit or scattered across the paper.",Reports of Constructional frequency profiling often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,"Constructional frequency profiling is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Constructional frequency profiling, but researchers still need some bespoke scripting or manual intervention.",Constructional frequency profiling requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"Constructional frequency profiling offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Constructional frequency profiling, but meaningful variations still require nontrivial analyst decisions.",Checking AI output for Constructional frequency profiling requires a moderate human audit rather than a quick spot-check.
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",5,7,3,5,6,5,4,3,5,9,4,4,8,"Semantic prosody assessment via concordance sampling is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Semantic prosody assessment via concordance sampling is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI struggles to fully replace humans on Semantic prosody assessment via concordance sampling because qualitative judgement remains central.,"Over the next decade, AI should handle more of Semantic prosody assessment via concordance sampling but humans will still matter for boundary cases.","Even under idealized conditions, Semantic prosody assessment via concordance sampling would still retain some human role because theoretical choices shape the task.","An LM can recover much of the workflow for Semantic prosody assessment via concordance sampling, but important steps are often implicit or scattered across the paper.",Reports of Semantic prosody assessment via concordance sampling often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,Semantic prosody assessment via concordance sampling depends enough on human coding or unstable choices that identical-seeming replications may diverge.,"There are workable tools for Semantic prosody assessment via concordance sampling, but researchers still need some bespoke scripting or manual intervention.",Semantic prosody assessment via concordance sampling requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"For Semantic prosody assessment via concordance sampling, there is limited objective ground truth beyond expert agreement or broad qualitative similarity.",Semantic prosody assessment via concordance sampling is hard to probe systematically because varying assumptions quickly changes the coding frame itself.,Auditing AI output for Semantic prosody assessment via concordance sampling would take substantial human time because close reading or re-coding is needed.
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",5,7,4,6,7,4,4,4,5,9,4,3,8,"Discourse preference profiling is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Discourse preference profiling is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI struggles to fully replace humans on Discourse preference profiling because qualitative judgement remains central.,"Over the next decade, AI should handle more of Discourse preference profiling but humans will still matter for boundary cases.","Even under idealized conditions, Discourse preference profiling would still retain some human role because theoretical choices shape the task.",Method prose for Discourse preference profiling often leaves too much tacit reasoning for an LM to extract a clean executable specification.,Reports of Discourse preference profiling often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,Discourse preference profiling depends enough on human coding or unstable choices that identical-seeming replications may diverge.,"There are workable tools for Discourse preference profiling, but researchers still need some bespoke scripting or manual intervention.",Discourse preference profiling requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"For Discourse preference profiling, there is limited objective ground truth beyond expert agreement or broad qualitative similarity.",Discourse preference profiling is hard to probe systematically because varying assumptions quickly changes the coding frame itself.,Auditing AI output for Discourse preference profiling would take substantial human time because close reading or re-coding is needed.
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",8,8,9,10,10,9,8,10,9,2,8,9,3,Overuse/underuse analysis in learner corpus is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Overuse/underuse analysis in learner corpus is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Overuse/underuse analysis in learner corpus once the corpus, preprocessing, and parameters are specified.","Over the next decade, Overuse/underuse analysis in learner corpus is likely to become almost fully automatable under ordinary research conditions.","In principle, Overuse/underuse analysis in learner corpus could be almost completely automated if perfect models and tooling were available.",Published descriptions of Overuse/underuse analysis in learner corpus are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Overuse/underuse analysis in learner corpus usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Overuse/underuse analysis in learner corpus should return the same output on repeated runs.",Established corpus or NLP software can already execute Overuse/underuse analysis in learner corpus end to end with relatively little custom engineering.,Overuse/underuse analysis in learner corpus is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Overuse/underuse analysis in learner corpus can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Overuse/underuse analysis in learner corpus lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Overuse/underuse analysis in learner corpus can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",6,8,7,9,10,7,6,8,6,4,7,8,6,"Error-tagged frequency profiling (tagged error categories across L1 groups) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Error-tagged frequency profiling (tagged error categories across L1 groups) is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Error-tagged frequency profiling (tagged error categories across L1 groups) but still benefits from human oversight on setup or interpretation.,"Over the next decade, Error-tagged frequency profiling (tagged error categories across L1 groups) is likely to become almost fully automatable under ordinary research conditions.","In principle, Error-tagged frequency profiling (tagged error categories across L1 groups) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Error-tagged frequency profiling (tagged error categories across L1 groups), but important steps are often implicit or scattered across the paper.",Papers on Error-tagged frequency profiling (tagged error categories across L1 groups) often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Error-tagged frequency profiling (tagged error categories across L1 groups) should return the same output on repeated runs.","There are workable tools for Error-tagged frequency profiling (tagged error categories across L1 groups), but researchers still need some bespoke scripting or manual intervention.",Error-tagged frequency profiling (tagged error categories across L1 groups) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Error-tagged frequency profiling (tagged error categories across L1 groups) offers some objective checks, but exact success is only partly measurable against the published result.",Error-tagged frequency profiling (tagged error categories across L1 groups) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for Error-tagged frequency profiling (tagged error categories across L1 groups) requires a moderate human audit rather than a quick spot-check.
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",8,8,9,10,10,9,8,10,9,2,8,9,3,Burrows's Delta authorship attribution (most-frequent-word profiles) is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Burrows's Delta authorship attribution (most-frequent-word profiles) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Burrows's Delta authorship attribution (most-frequent-word profiles) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Burrows's Delta authorship attribution (most-frequent-word profiles) is likely to become almost fully automatable under ordinary research conditions.","In principle, Burrows's Delta authorship attribution (most-frequent-word profiles) could be almost completely automated if perfect models and tooling were available.",Published descriptions of Burrows's Delta authorship attribution (most-frequent-word profiles) are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Burrows's Delta authorship attribution (most-frequent-word profiles) usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Burrows's Delta authorship attribution (most-frequent-word profiles) should return the same output on repeated runs.",Established corpus or NLP software can already execute Burrows's Delta authorship attribution (most-frequent-word profiles) end to end with relatively little custom engineering.,Burrows's Delta authorship attribution (most-frequent-word profiles) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Burrows's Delta authorship attribution (most-frequent-word profiles) can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Burrows's Delta authorship attribution (most-frequent-word profiles) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Burrows's Delta authorship attribution (most-frequent-word profiles) can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",4,7,3,5,6,4,4,4,4,9,3,3,9,Foregrounding frequency profiling is possible for a human analyst but is labor-intensive and technically demanding to carry out reliably.,Foregrounding frequency profiling is useful for the research design but usually supports a narrower analytic question than the main contribution.,Today's AI struggles to fully replace humans on Foregrounding frequency profiling because qualitative judgement remains central.,"Over the next decade, AI should handle more of Foregrounding frequency profiling but humans will still matter for boundary cases.","Even under idealized conditions, Foregrounding frequency profiling would still retain some human role because theoretical choices shape the task.",Method prose for Foregrounding frequency profiling often leaves too much tacit reasoning for an LM to extract a clean executable specification.,Reports of Foregrounding frequency profiling often omit key coding decisions or parameter values that an AI would need to reconstruct exactly.,Foregrounding frequency profiling depends enough on human coding or unstable choices that identical-seeming replications may diverge.,Foregrounding frequency profiling lacks a consistently mature end-to-end tool chain and still relies on substantial handcrafted work.,Foregrounding frequency profiling requires substantial qualitative or theoretical judgement to define categories and interpret outputs.,"For Foregrounding frequency profiling, there is limited objective ground truth beyond expert agreement or broad qualitative similarity.",Foregrounding frequency profiling is hard to probe systematically because varying assumptions quickly changes the coding frame itself.,Auditing AI output for Foregrounding frequency profiling would take substantial human time because close reading or re-coding is needed.
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",8,8,9,10,10,9,8,10,9,2,8,9,3,COHA/COCA diachronic frequency trajectory is straightforward for a human analyst with standard corpus tools and limited manual judgement.,COHA/COCA diachronic frequency trajectory is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of COHA/COCA diachronic frequency trajectory once the corpus, preprocessing, and parameters are specified.","Over the next decade, COHA/COCA diachronic frequency trajectory is likely to become almost fully automatable under ordinary research conditions.","In principle, COHA/COCA diachronic frequency trajectory could be almost completely automated if perfect models and tooling were available.",Published descriptions of COHA/COCA diachronic frequency trajectory are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on COHA/COCA diachronic frequency trajectory usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, COHA/COCA diachronic frequency trajectory should return the same output on repeated runs.",Established corpus or NLP software can already execute COHA/COCA diachronic frequency trajectory end to end with relatively little custom engineering.,COHA/COCA diachronic frequency trajectory is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for COHA/COCA diachronic frequency trajectory can be checked against published counts, rankings, or model outputs with fairly objective criteria.",COHA/COCA diachronic frequency trajectory lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for COHA/COCA diachronic frequency trajectory can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",4,8,7,9,10,7,5,7,7,5,7,8,5,Semantic change detection via co-occurrence shift is possible for a human analyst but is labor-intensive and technically demanding to carry out reliably.,Semantic change detection via co-occurrence shift is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Semantic change detection via co-occurrence shift but still benefits from human oversight on setup or interpretation.,"Over the next decade, Semantic change detection via co-occurrence shift is likely to become almost fully automatable under ordinary research conditions.","In principle, Semantic change detection via co-occurrence shift could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Semantic change detection via co-occurrence shift, but important steps are often implicit or scattered across the paper.",Papers on Semantic change detection via co-occurrence shift often report some needed parameters but still leave consequential settings underspecified.,"Semantic change detection via co-occurrence shift is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Semantic change detection via co-occurrence shift, but researchers still need some bespoke scripting or manual intervention.",Semantic change detection via co-occurrence shift mixes formal computation with meaningful human judgement about modeling or interpretation.,"Semantic change detection via co-occurrence shift offers some objective checks, but exact success is only partly measurable against the published result.",Semantic change detection via co-occurrence shift lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for Semantic change detection via co-occurrence shift requires a moderate human audit rather than a quick spot-check.
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",5,9,8,9,10,7,6,8,7,4,7,8,5,"Biber-style factor score computation (weighted linguistic feature counts) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Biber-style factor score computation (weighted linguistic feature counts) is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Biber-style factor score computation (weighted linguistic feature counts) once the corpus, preprocessing, and parameters are specified.","Over the next decade, Biber-style factor score computation (weighted linguistic feature counts) is likely to become almost fully automatable under ordinary research conditions.","In principle, Biber-style factor score computation (weighted linguistic feature counts) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Biber-style factor score computation (weighted linguistic feature counts), but important steps are often implicit or scattered across the paper.",Papers on Biber-style factor score computation (weighted linguistic feature counts) often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Biber-style factor score computation (weighted linguistic feature counts) should return the same output on repeated runs.","There are workable tools for Biber-style factor score computation (weighted linguistic feature counts), but researchers still need some bespoke scripting or manual intervention.",Biber-style factor score computation (weighted linguistic feature counts) is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Biber-style factor score computation (weighted linguistic feature counts) offers some objective checks, but exact success is only partly measurable against the published result.",Biber-style factor score computation (weighted linguistic feature counts) lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for Biber-style factor score computation (weighted linguistic feature counts) requires a moderate human audit rather than a quick spot-check.
"Register comparison via MD dimension scores (e.g., Dimension 1: Involved vs. Informational)",Multi-Dimensional Analysis,"Biber, D., & Conrad, S. (2009). Register, genre, and style. Cambridge University Press.",6,9,8,9,10,8,7,8,7,5,7,8,5,"Register comparison via MD dimension scores is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Register comparison via MD dimension scores is a core method that can materially affect the study's substantive conclusions.,"Today's AI can automate most of Register comparison via MD dimension scores once the corpus, preprocessing, and parameters are specified.","Over the next decade, Register comparison via MD dimension scores is likely to become almost fully automatable under ordinary research conditions.","In principle, Register comparison via MD dimension scores could be almost completely automated if perfect models and tooling were available.",Published descriptions of Register comparison via MD dimension scores are usually structured enough for an LM to extract a machine-executable workflow.,Papers on Register comparison via MD dimension scores often report some needed parameters but still leave consequential settings underspecified.,"Once inputs and settings are fixed, Register comparison via MD dimension scores should return the same output on repeated runs.","There are workable tools for Register comparison via MD dimension scores, but researchers still need some bespoke scripting or manual intervention.",Register comparison via MD dimension scores mixes formal computation with meaningful human judgement about modeling or interpretation.,"Register comparison via MD dimension scores offers some objective checks, but exact success is only partly measurable against the published result.",Register comparison via MD dimension scores lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,Checking AI output for Register comparison via MD dimension scores requires a moderate human audit rather than a quick spot-check.
Filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups),Corpus Phonology / Spoken Corpus,"Tottie, G. (2011). Uh and um as sociolinguistic markers in British English. International Journal of Corpus Linguistics, 16(2), 173–197.",8,7,9,10,10,9,8,10,9,2,8,9,3,Filled pause frequency profiling is straightforward for a human analyst with standard corpus tools and limited manual judgement.,Filled pause frequency profiling is useful for the research design but usually supports a narrower analytic question than the main contribution.,"Today's AI can automate most of Filled pause frequency profiling once the corpus, preprocessing, and parameters are specified.","Over the next decade, Filled pause frequency profiling is likely to become almost fully automatable under ordinary research conditions.","In principle, Filled pause frequency profiling could be almost completely automated if perfect models and tooling were available.",Published descriptions of Filled pause frequency profiling are usually structured enough for an LM to extract a machine-executable workflow.,"The literature on Filled pause frequency profiling usually reports the thresholds, windows, features, or labels needed to rerun it.","Once inputs and settings are fixed, Filled pause frequency profiling should return the same output on repeated runs.",Established corpus or NLP software can already execute Filled pause frequency profiling end to end with relatively little custom engineering.,Filled pause frequency profiling is mostly procedural and leaves limited room for qualitative human judgement once setup is fixed.,"Replication success for Filled pause frequency profiling can be checked against published counts, rankings, or model outputs with fairly objective criteria.",Filled pause frequency profiling lends itself to systematic parameter sweeps and sensitivity checks without redesigning the whole study.,AI output for Filled pause frequency profiling can be audited relatively cheaply by rerunning the pipeline or spot-checking results.
Turn-taking pattern frequency analysis (overlap and latency distributions),Corpus Phonology / Spoken Corpus,"Stivers, T., Enfield, N. J., Brown, P., Englert, C., Hayashi, M., Heinemann, T., … Levinson, S. C. (2009). Universals and cultural variation in turn-taking in conversation. PNAS, 106(26), 10587–10592.",5,8,6,8,9,6,5,6,6,6,6,7,6,"Turn-taking pattern frequency analysis (overlap and latency distributions) is feasible for a human analyst but requires noticeable setup, annotation, or statistical expertise.",Turn-taking pattern frequency analysis (overlap and latency distributions) is a core method that can materially affect the study's substantive conclusions.,Today's AI can assist heavily with Turn-taking pattern frequency analysis (overlap and latency distributions) but still benefits from human oversight on setup or interpretation.,"Over the next decade, Turn-taking pattern frequency analysis (overlap and latency distributions) is likely to become almost fully automatable under ordinary research conditions.","In principle, Turn-taking pattern frequency analysis (overlap and latency distributions) could be almost completely automated if perfect models and tooling were available.","An LM can recover much of the workflow for Turn-taking pattern frequency analysis (overlap and latency distributions), but important steps are often implicit or scattered across the paper.",Papers on Turn-taking pattern frequency analysis (overlap and latency distributions) often report some needed parameters but still leave consequential settings underspecified.,"Turn-taking pattern frequency analysis (overlap and latency distributions) is only partly deterministic because preprocessing, sampling, or modeling choices can shift the output.","There are workable tools for Turn-taking pattern frequency analysis (overlap and latency distributions), but researchers still need some bespoke scripting or manual intervention.",Turn-taking pattern frequency analysis (overlap and latency distributions) mixes formal computation with meaningful human judgement about modeling or interpretation.,"Turn-taking pattern frequency analysis (overlap and latency distributions) offers some objective checks, but exact success is only partly measurable against the published result.","Robustness testing is possible for Turn-taking pattern frequency analysis (overlap and latency distributions), but meaningful variations still require nontrivial analyst decisions.",Checking AI output for Turn-taking pattern frequency analysis (overlap and latency distributions) requires a moderate human audit rather than a quick spot-check.
