task,area of research,notable human research,Human Feasibility,Research Significance,Current AI Replaceability,AI Replaceability in 10 Years,Theoretical Maximum AI Replaceability,Specification Extractability,Parameter Explicitness,Execution Determinism,Tool-chain Maturity,Interpretive Judgement Load,Evaluation / Ground-Truth Availability,Robustness Tractability,Verification Cost,Human Feasibility — Explanation,Research Significance — Explanation,Current AI Replaceability — Explanation,AI Replaceability in 10 Years — Explanation,Theoretical Maximum AI Replaceability — Explanation,Specification Extractability — Explanation,Parameter Explicitness — Explanation,Execution Determinism — Explanation,Tool-chain Maturity — Explanation,Interpretive Judgement Load — Explanation,Evaluation / Ground-Truth Availability — Explanation,Robustness Tractability — Explanation,Verification Cost — Explanation
DP-based dispersion analysis (Gries's Deviation of Proportions),Dispersion & Distribution,"Gries, S. Th. (2008). Dispersions and adjusted frequencies in corpora. International Journal of Corpus Linguistics, 13(4), 403–437.",8,6,8,9,10,8,8,8,8,4,8,8,4,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of dp-based dispersion analysis (gries's deviation of proportions) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of dp-based dispersion analysis (gries's deviation of proportions) except occasional oversight.","In principle, dp-based dispersion analysis (gries's deviation of proportions) appears almost fully automatable if practical constraints are removed.","For dp-based dispersion analysis (gries's deviation of proportions), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For dp-based dispersion analysis (gries's deviation of proportions), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For dp-based dispersion analysis (gries's deviation of proportions), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For dp-based dispersion analysis (gries's deviation of proportions), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For dp-based dispersion analysis (gries's deviation of proportions), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For dp-based dispersion analysis (gries's deviation of proportions), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For dp-based dispersion analysis (gries's deviation of proportions), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For dp-based dispersion analysis (gries's deviation of proportions), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Juilland's D comparison across registers,Dispersion & Distribution,"Juilland, A., & Chang-Rodriguez, E. (1964). Frequency dictionary of Spanish words. Mouton.",8,7,8,9,10,8,8,9,8,3,8,9,3,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of juilland's d comparison across registers once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of juilland's d comparison across registers except occasional oversight.","In principle, juilland's d comparison across registers appears almost fully automatable if practical constraints are removed.","For juilland's d comparison across registers, specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For juilland's d comparison across registers, parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For juilland's d comparison across registers, execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For juilland's d comparison across registers, tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For juilland's d comparison across registers, interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For juilland's d comparison across registers, evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For juilland's d comparison across registers, robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For juilland's d comparison across registers, verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Frequency vs. dispersion trade-off mapping,Dispersion & Distribution,"Gries, S. Th. (2020). Analyzing dispersion. In M. Paquot & S. Th. Gries (Eds.), A practical handbook of corpus linguistics. Springer.",8,6,8,9,10,8,8,8,8,4,8,8,4,This task is highly feasible for a trained human analyst working with standard corpus methods.,"This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of frequency vs. dispersion trade-off mapping once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of frequency vs. dispersion trade-off mapping except occasional oversight.","In principle, frequency vs. dispersion trade-off mapping appears almost fully automatable if practical constraints are removed.","For frequency vs. dispersion trade-off mapping, specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For frequency vs. dispersion trade-off mapping, parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For frequency vs. dispersion trade-off mapping, execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For frequency vs. dispersion trade-off mapping, tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For frequency vs. dispersion trade-off mapping, interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For frequency vs. dispersion trade-off mapping, evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For frequency vs. dispersion trade-off mapping, robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For frequency vs. dispersion trade-off mapping, verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
CQL/CQP concordance search with explicit query string,Corpus-Based Grammar / Pattern,"Evert, S., & Hardie, A. (2011). Twenty-first century Corpus Workbench: Updating a query architecture for the new millennium. In Proceedings of the Corpus Linguistics 2011 Conference. University of Birmingham.",9,8,10,10,10,10,10,10,10,1,10,10,1,This task is highly feasible for a trained human analyst working with standard corpus methods.,This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of cql/cqp concordance search with explicit query string once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of cql/cqp concordance search with explicit query string except occasional oversight.","In principle, cql/cqp concordance search with explicit query string appears almost fully automatable if practical constraints are removed.","For cql/cqp concordance search with explicit query string, specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For cql/cqp concordance search with explicit query string, parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For cql/cqp concordance search with explicit query string, execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For cql/cqp concordance search with explicit query string, tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For cql/cqp concordance search with explicit query string, interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For cql/cqp concordance search with explicit query string, evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For cql/cqp concordance search with explicit query string, robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For cql/cqp concordance search with explicit query string, verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Lexico-grammatical pattern extraction via dependency parsing (SVO triples),Corpus-Based Grammar / Pattern,"Mason, O., & Hunston, S. (2004). The automatic recognition of verb patterns: A feasibility study. International Journal of Corpus Linguistics, 9(2), 253–270.",6,8,6,8,9,6,6,7,7,5,6,7,5,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,"Current AI can assist substantially with lexico-grammatical pattern extraction via dependency parsing (svo triples), but human supervision is still important.","Within 10 years, AI is likely to automate nearly all of lexico-grammatical pattern extraction via dependency parsing (svo triples) except occasional oversight.","In principle, lexico-grammatical pattern extraction via dependency parsing (svo triples) appears almost fully automatable if practical constraints are removed.","For lexico-grammatical pattern extraction via dependency parsing (svo triples), specification extraction is strong  the broad workflow is extractable, but some decisions remain implicit in the prose","For lexico-grammatical pattern extraction via dependency parsing (svo triples), parameter explicitness is strong  many needed parameters are reported, but some implementation details are usually missing","For lexico-grammatical pattern extraction via dependency parsing (svo triples), execution is only partly deterministic  it mixes structured computation with analyst-set modelling decisions","For lexico-grammatical pattern extraction via dependency parsing (svo triples), tool-chain maturity is high  core steps are supported, but end-to-end replication still needs custom setup","For lexico-grammatical pattern extraction via dependency parsing (svo triples), interpretive judgement load is moderate  some expert linguistic judgement remains necessary alongside formal metrics","For lexico-grammatical pattern extraction via dependency parsing (svo triples), evaluation availability is strong  some outputs can be benchmarked, though interpretation still affects the target result","For lexico-grammatical pattern extraction via dependency parsing (svo triples), robustness tractability is high  some sensitivity analysis is feasible, though not across every consequential choice","For lexico-grammatical pattern extraction via dependency parsing (svo triples), verification cost is moderate  verification is moderate and needs spot-checking plus methodological review"
Constructional frequency profiling (syntactic construction counts across genres),Corpus-Based Grammar / Pattern,"Stefanowitsch, A. (2013). Collostructional analysis. In T. Hoffmann & G. Trousdale (Eds.), The Oxford handbook of construction grammar. Oxford University Press.",6,9,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of constructional frequency profiling (syntactic construction counts across genres) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of constructional frequency profiling (syntactic construction counts across genres) except occasional oversight.","In principle, constructional frequency profiling (syntactic construction counts across genres) appears almost fully automatable if practical constraints are removed.","For constructional frequency profiling (syntactic construction counts across genres), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For constructional frequency profiling (syntactic construction counts across genres), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For constructional frequency profiling (syntactic construction counts across genres), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For constructional frequency profiling (syntactic construction counts across genres), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For constructional frequency profiling (syntactic construction counts across genres), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For constructional frequency profiling (syntactic construction counts across genres), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For constructional frequency profiling (syntactic construction counts across genres), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For constructional frequency profiling (syntactic construction counts across genres), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Semantic prosody assessment via concordance sampling,Corpus-Assisted Discourse Studies,"Louw, B. (1993). Irony in the text or insincerity in the writer? The diagnostic potential of semantic prosodies. In M. Baker, G. Francis, & E. Tognini-Bonelli (Eds.), Text and technology (pp. 157–176). John Benjamins.",6,8,2,5,7,4,4,4,5,10,4,5,8,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI cannot reliably replace a human for semantic prosody assessment via concordance sampling because interpretation and task framing dominate execution.,"Within 10 years, AI should handle larger parts of semantic prosody assessment via concordance sampling, though humans will still guide important decisions.","In principle, large parts of semantic prosody assessment via concordance sampling are automatable, but some human role likely remains.","For semantic prosody assessment via concordance sampling, specification extraction is strong  published prose often leaves key analytic choices implicit or underspecified","For semantic prosody assessment via concordance sampling, parameter explicitness is strong  the literature often omits important parameter settings or preprocessing details","For semantic prosody assessment via concordance sampling, execution is weakly deterministic  outputs vary with modelling choices or preprocessing decisions","For semantic prosody assessment via concordance sampling, tool-chain maturity is high  only partial or uneven tool support exists across the workflow","For semantic prosody assessment via concordance sampling, interpretive judgement load is high  interpreting the result depends heavily on contextual linguistic judgement","For semantic prosody assessment via concordance sampling, evaluation availability is strong  success is hard to benchmark objectively against a single published ground truth","For semantic prosody assessment via concordance sampling, robustness tractability is high  robustness checks are difficult to automate across the key analytic choices","For semantic prosody assessment via concordance sampling, verification cost is high  auditing the output requires substantial expert review of data, parameters, and interpretation"
Discourse preference profiling (co-occurrence of evaluative lexis around a target),Corpus-Assisted Discourse Studies,"Partington, A., Duguid, A., & Taylor, C. (2013). Patterns and meanings in discourse: Theory and practice in corpus-assisted discourse studies (CADS). John Benjamins.",6,8,3,5,7,4,4,4,5,9,4,5,8,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI cannot reliably replace a human for discourse preference profiling (co-occurrence of evaluative lexis around a target) because interpretation and task framing dominate execution.,"Within 10 years, AI should handle larger parts of discourse preference profiling (co-occurrence of evaluative lexis around a target), though humans will still guide important decisions.","In principle, large parts of discourse preference profiling (co-occurrence of evaluative lexis around a target) are automatable, but some human role likely remains.","For discourse preference profiling (co-occurrence of evaluative lexis around a target), specification extraction is strong  published prose often leaves key analytic choices implicit or underspecified","For discourse preference profiling (co-occurrence of evaluative lexis around a target), parameter explicitness is strong  the literature often omits important parameter settings or preprocessing details","For discourse preference profiling (co-occurrence of evaluative lexis around a target), execution is weakly deterministic  outputs vary with modelling choices or preprocessing decisions","For discourse preference profiling (co-occurrence of evaluative lexis around a target), tool-chain maturity is high  only partial or uneven tool support exists across the workflow","For discourse preference profiling (co-occurrence of evaluative lexis around a target), interpretive judgement load is high  interpreting the result depends heavily on contextual linguistic judgement","For discourse preference profiling (co-occurrence of evaluative lexis around a target), evaluation availability is strong  success is hard to benchmark objectively against a single published ground truth","For discourse preference profiling (co-occurrence of evaluative lexis around a target), robustness tractability is high  robustness checks are difficult to automate across the key analytic choices","For discourse preference profiling (co-occurrence of evaluative lexis around a target), verification cost is high  auditing the output requires substantial expert review of data, parameters, and interpretation"
Overuse/underuse analysis in learner corpus (%DIFF or odds ratio vs. native reference),Learner Corpus,"Granger, S. (1998). The computer learner corpus: A versatile new source of data for SLA research. In S. Granger (Ed.), Learner English on computer (pp. 3–18). Addison Wesley Longman.",7,8,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference) except occasional oversight.","In principle, overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference) appears almost fully automatable if practical constraints are removed.","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For overuse/underuse analysis in learner corpus (%diff or odds ratio vs. native reference), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Error-tagged frequency profiling (tagged error categories across L1 groups),Learner Corpus,"Dagneaux, E., Denness, S., & Granger, S. (1998). Computer-aided error analysis. System, 26(2), 163–174.",7,8,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of error-tagged frequency profiling (tagged error categories across l1 groups) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of error-tagged frequency profiling (tagged error categories across l1 groups) except occasional oversight.","In principle, error-tagged frequency profiling (tagged error categories across l1 groups) appears almost fully automatable if practical constraints are removed.","For error-tagged frequency profiling (tagged error categories across l1 groups), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For error-tagged frequency profiling (tagged error categories across l1 groups), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For error-tagged frequency profiling (tagged error categories across l1 groups), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For error-tagged frequency profiling (tagged error categories across l1 groups), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For error-tagged frequency profiling (tagged error categories across l1 groups), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For error-tagged frequency profiling (tagged error categories across l1 groups), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For error-tagged frequency profiling (tagged error categories across l1 groups), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For error-tagged frequency profiling (tagged error categories across l1 groups), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Burrows's Delta authorship attribution (most-frequent-word profiles),Corpus Stylistics,"Burrows, J. (2002). 'Delta': A measure of stylistic difference and a guide to likely authorship. Literary and Linguistic Computing, 17(3), 267–287.",6,8,6,8,9,6,6,7,8,6,7,7,5,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,"Current AI can assist substantially with burrows's delta authorship attribution (most-frequent-word profiles), but human supervision is still important.","Within 10 years, AI is likely to automate nearly all of burrows's delta authorship attribution (most-frequent-word profiles) except occasional oversight.","In principle, burrows's delta authorship attribution (most-frequent-word profiles) appears almost fully automatable if practical constraints are removed.","For burrows's delta authorship attribution (most-frequent-word profiles), specification extraction is strong  the broad workflow is extractable, but some decisions remain implicit in the prose","For burrows's delta authorship attribution (most-frequent-word profiles), parameter explicitness is strong  many needed parameters are reported, but some implementation details are usually missing","For burrows's delta authorship attribution (most-frequent-word profiles), execution is only partly deterministic  it mixes structured computation with analyst-set modelling decisions","For burrows's delta authorship attribution (most-frequent-word profiles), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For burrows's delta authorship attribution (most-frequent-word profiles), interpretive judgement load is moderate  some expert linguistic judgement remains necessary alongside formal metrics","For burrows's delta authorship attribution (most-frequent-word profiles), evaluation availability is strong  some outputs can be benchmarked, though interpretation still affects the target result","For burrows's delta authorship attribution (most-frequent-word profiles), robustness tractability is high  some sensitivity analysis is feasible, though not across every consequential choice","For burrows's delta authorship attribution (most-frequent-word profiles), verification cost is moderate  verification is moderate and needs spot-checking plus methodological review"
Foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm),Corpus Stylistics,"Stubbs, M. (2005). Conrad in the computer: Examples of quantitative stylistic methods. Language and Literature, 14(1), 5–24.",6,7,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.","This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) except occasional oversight.","In principle, foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm) appears almost fully automatable if practical constraints are removed.","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For foregrounding frequency profiling (statistically deviant lexical choices vs. genre norm), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
COHA/COCA diachronic frequency trajectory (normalised frequency across decades),Diachronic / Historical Corpus,"Davies, M. (2012). Expanding horizons in historical linguistics with the 400-million word Corpus of Historical American English. Corpora, 7(2), 121–157.",7,8,8,9,10,8,8,9,9,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,Current AI can automate most of coha/coca diachronic frequency trajectory (normalised frequency across decades) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of coha/coca diachronic frequency trajectory (normalised frequency across decades) except occasional oversight.","In principle, coha/coca diachronic frequency trajectory (normalised frequency across decades) appears almost fully automatable if practical constraints are removed.","For coha/coca diachronic frequency trajectory (normalised frequency across decades), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For coha/coca diachronic frequency trajectory (normalised frequency across decades), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For coha/coca diachronic frequency trajectory (normalised frequency across decades), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For coha/coca diachronic frequency trajectory (normalised frequency across decades), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For coha/coca diachronic frequency trajectory (normalised frequency across decades), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For coha/coca diachronic frequency trajectory (normalised frequency across decades), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For coha/coca diachronic frequency trajectory (normalised frequency across decades), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For coha/coca diachronic frequency trajectory (normalised frequency across decades), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
Semantic change detection via co-occurrence shift,Diachronic / Historical Corpus,"Hamilton, W. L., Leskovec, J., & Jurafsky, D. (2016). Diachronic word embeddings reveal statistical laws of semantic change. In Proceedings of ACL 2016.",5,9,6,8,9,6,5,5,7,6,5,7,6,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,"Current AI can assist substantially with semantic change detection via co-occurrence shift, but human supervision is still important.","Within 10 years, AI is likely to automate nearly all of semantic change detection via co-occurrence shift except occasional oversight.","In principle, semantic change detection via co-occurrence shift appears almost fully automatable if practical constraints are removed.","For semantic change detection via co-occurrence shift, specification extraction is strong  the broad workflow is extractable, but some decisions remain implicit in the prose","For semantic change detection via co-occurrence shift, parameter explicitness is strong  the literature often omits important parameter settings or preprocessing details","For semantic change detection via co-occurrence shift, execution is only partly deterministic  outputs vary with modelling choices or preprocessing decisions","For semantic change detection via co-occurrence shift, tool-chain maturity is high  core steps are supported, but end-to-end replication still needs custom setup","For semantic change detection via co-occurrence shift, interpretive judgement load is moderate  some expert linguistic judgement remains necessary alongside formal metrics","For semantic change detection via co-occurrence shift, evaluation availability is strong  success is hard to benchmark objectively against a single published ground truth","For semantic change detection via co-occurrence shift, robustness tractability is high  some sensitivity analysis is feasible, though not across every consequential choice","For semantic change detection via co-occurrence shift, verification cost is moderate  verification is moderate and needs spot-checking plus methodological review"
Biber-style factor score computation (weighted linguistic feature counts),Multi-Dimensional Analysis,"Biber, D. (1988). Variation across speech and writing. Cambridge University Press.",5,9,6,8,9,6,5,7,7,6,6,7,5,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,"Current AI can assist substantially with biber-style factor score computation (weighted linguistic feature counts), but human supervision is still important.","Within 10 years, AI is likely to automate nearly all of biber-style factor score computation (weighted linguistic feature counts) except occasional oversight.","In principle, biber-style factor score computation (weighted linguistic feature counts) appears almost fully automatable if practical constraints are removed.","For biber-style factor score computation (weighted linguistic feature counts), specification extraction is strong  the broad workflow is extractable, but some decisions remain implicit in the prose","For biber-style factor score computation (weighted linguistic feature counts), parameter explicitness is strong  the literature often omits important parameter settings or preprocessing details","For biber-style factor score computation (weighted linguistic feature counts), execution is only partly deterministic  it mixes structured computation with analyst-set modelling decisions","For biber-style factor score computation (weighted linguistic feature counts), tool-chain maturity is high  core steps are supported, but end-to-end replication still needs custom setup","For biber-style factor score computation (weighted linguistic feature counts), interpretive judgement load is moderate  some expert linguistic judgement remains necessary alongside formal metrics","For biber-style factor score computation (weighted linguistic feature counts), evaluation availability is strong  some outputs can be benchmarked, though interpretation still affects the target result","For biber-style factor score computation (weighted linguistic feature counts), robustness tractability is high  some sensitivity analysis is feasible, though not across every consequential choice","For biber-style factor score computation (weighted linguistic feature counts), verification cost is moderate  verification is moderate and needs spot-checking plus methodological review"
"Register comparison via MD dimension scores (e.g., Dimension 1: Involved vs. Informational)",Multi-Dimensional Analysis,"Biber, D., & Conrad, S. (2009). Register, genre, and style. Cambridge University Press.",6,9,6,8,9,6,6,7,7,5,6,7,5,"This task is feasible for a trained human, but it requires moderate technical setup and checking.",This task is central to its research area because it directly operationalises a common analytic question.,"Current AI can assist substantially with register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), but human supervision is still important.","Within 10 years, AI is likely to automate nearly all of register comparison via md dimension scores (e.g., dimension 1: involved vs. informational) except occasional oversight.","In principle, register comparison via md dimension scores (e.g., dimension 1: involved vs. informational) appears almost fully automatable if practical constraints are removed.","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), specification extraction is strong  the broad workflow is extractable, but some decisions remain implicit in the prose","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), parameter explicitness is strong  many needed parameters are reported, but some implementation details are usually missing","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), execution is only partly deterministic  it mixes structured computation with analyst-set modelling decisions","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), tool-chain maturity is high  core steps are supported, but end-to-end replication still needs custom setup","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), interpretive judgement load is moderate  some expert linguistic judgement remains necessary alongside formal metrics","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), evaluation availability is strong  some outputs can be benchmarked, though interpretation still affects the target result","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), robustness tractability is high  some sensitivity analysis is feasible, though not across every consequential choice","For register comparison via md dimension scores (e.g., dimension 1: involved vs. informational), verification cost is moderate  verification is moderate and needs spot-checking plus methodological review"
Filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups),Corpus Phonology / Spoken Corpus,"Tottie, G. (2011). Uh and um as sociolinguistic markers in British English. International Journal of Corpus Linguistics, 16(2), 173–197.",6,7,8,9,10,8,8,8,8,4,8,8,4,"This task is feasible for a trained human, but it requires moderate technical setup and checking.","This task is useful to the research programme, but it is usually one component rather than the whole contribution.",Current AI can automate most of filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups) once the corpus and target specification are provided.,"Within 10 years, AI is likely to automate nearly all of filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups) except occasional oversight.","In principle, filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups) appears almost fully automatable if practical constraints are removed.","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), specification extraction is strong  the task description is usually procedural enough to convert into structured steps","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), parameter explicitness is strong  the necessary thresholds, spans, tags, or comparison sets are typically reported","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), execution is highly deterministic  it relies on clearly specified counts, thresholds, or rule-based computations","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), tool-chain maturity is high  mature corpus, NLP, or statistical tools can already execute most steps","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), interpretive judgement load is low  most decisions can be operationalised with limited qualitative judgement","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), evaluation availability is strong  outputs can be directly checked against published counts, rankings, or derived statistics","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), robustness tractability is high  the analysis can be rerun systematically over alternative windows, cut-offs, or corpora","For filled pause frequency profiling (uh/um tokens per 1000 words across speaker groups), verification cost is low  a human can audit the main outputs quickly against the corpus and method description"
